video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7573,0.7681,0.7198,0.7431,0.7501
002,0.7759,0.746,0.7087,0.7269,0.7506
003,0.8156,0.7498,0.7141,0.7315,0.7713
004,0.7722,0.7267,0.732,0.7293,0.7501
005,0.8203,0.7426,0.7114,0.7266,0.7706
006,0.8572,0.7422,0.7391,0.7406,0.7946
007,0.7937,0.7164,0.6945,0.7052,0.7469
008,0.7792,0.7377,0.7125,0.7248,0.751
009,0.6638,0.7116,0.7007,0.7061,0.6843
010,0.8089,0.7451,0.7063,0.7252,0.7648
011,0.7695,0.7659,0.7188,0.7416,0.7553
012,0.7453,0.728,0.6947,0.711,0.7277
013,0.7566,0.7344,0.711,0.7225,0.7391
014,0.7755,0.7578,0.6936,0.7243,0.749
015,0.7825,0.7219,0.7116,0.7167,0.7482
016,0.773,0.7418,0.7182,0.7298,0.7508
017,0.8287,0.7133,0.6952,0.7041,0.7614
018,0.7346,0.7123,0.6766,0.694,0.7138
019,0.7831,0.7674,0.7216,0.7438,0.7629
020,0.798,0.739,0.7186,0.7287,0.7617
021,0.7885,0.7152,0.6948,0.7048,0.7443
022,0.8484,0.8046,0.754,0.7785,0.812
023,0.78,0.7256,0.732,0.7288,0.7535
024,0.8456,0.7507,0.7153,0.7326,0.7851
025,0.7617,0.7232,0.7273,0.7252,0.743
026,0.765,0.763,0.7165,0.739,0.7518
027,0.7677,0.7275,0.7107,0.719,0.7425
028,0.7814,0.7501,0.7068,0.7278,0.7537
029,0.7301,0.7433,0.6748,0.7074,0.7185
030,0.7799,0.7239,0.6988,0.7111,0.7439
031,0.81,0.7416,0.7392,0.7404,0.7736
032,0.7197,0.6467,0.6707,0.6585,0.6877
033,0.7872,0.7052,0.6872,0.6961,0.7389
034,0.7627,0.7397,0.7412,0.7405,0.7514
035,0.8342,0.7729,0.7211,0.7461,0.7877
036,0.6989,0.7095,0.6843,0.6967,0.6978
037,0.8084,0.755,0.7003,0.7266,0.7654
038,0.7405,0.7112,0.7112,0.7112,0.7255
039,0.8075,0.7338,0.7497,0.7417,0.7732
040,0.7736,0.7523,0.7186,0.7351,0.7539
041,0.6593,0.7024,0.7173,0.7098,0.6836
042,0.7141,0.7374,0.6819,0.7086,0.7113
043,0.7176,0.6663,0.6298,0.6475,0.6808
044,0.7407,0.7049,0.6893,0.697,0.7182
045,0.7939,0.7263,0.6846,0.7048,0.7467
046,0.7447,0.7648,0.7427,0.7536,0.7491
047,0.7776,0.7361,0.7203,0.7281,0.7521
048,0.7599,0.7238,0.7296,0.7267,0.7429
049,0.7419,0.758,0.7192,0.7381,0.74
050,0.7752,0.783,0.7189,0.7495,0.7622
051,0.7651,0.706,0.6984,0.7022,0.7323
052,0.7299,0.7151,0.6779,0.696,0.7125
053,0.6521,0.6599,0.6439,0.6518,0.6519
054,0.7504,0.7039,0.6866,0.6951,0.7217
055,0.6538,0.7049,0.6704,0.6872,0.6701
056,0.7841,0.7105,0.668,0.6886,0.7332
057,0.7952,0.7021,0.696,0.699,0.744
058,0.7505,0.7263,0.695,0.7103,0.7298
059,0.7652,0.752,0.6879,0.7185,0.7411
060,0.7616,0.7093,0.7107,0.71,0.7349
061,0.7257,0.6887,0.6765,0.6825,0.7034
062,0.7556,0.7681,0.7017,0.7334,0.7443
063,0.6468,0.7335,0.6925,0.7124,0.678
064,0.8354,0.7645,0.7292,0.7465,0.7884
065,0.8095,0.736,0.6788,0.7062,0.7543
066,0.7614,0.727,0.6521,0.6875,0.7226
067,0.8088,0.7762,0.7416,0.7585,0.7828
068,0.8516,0.7771,0.7102,0.7421,0.7931
069,0.8439,0.7654,0.73,0.7473,0.7926
070,0.8279,0.7621,0.7304,0.7459,0.7848
071,0.7693,0.7472,0.7084,0.7273,0.7477
072,0.8257,0.7584,0.7298,0.7438,0.7826
073,0.7284,0.7238,0.7239,0.7238,0.7261
074,0.7647,0.7234,0.6899,0.7063,0.7343
075,0.7056,0.6596,0.6698,0.6647,0.6845
076,0.7933,0.7524,0.7099,0.7305,0.7606
077,0.8179,0.7588,0.71,0.7336,0.7735
078,0.8284,0.754,0.7101,0.7314,0.7769
079,0.7576,0.7279,0.746,0.7368,0.747
080,0.8069,0.7279,0.7074,0.7175,0.7595
081,0.7598,0.7153,0.6396,0.6754,0.7151
082,0.8115,0.7445,0.7072,0.7253,0.766
083,0.7269,0.7402,0.7239,0.7319,0.7294
084,0.8344,0.672,0.6865,0.6792,0.7488
085,0.7133,0.7447,0.6711,0.706,0.7096
086,0.809,0.7187,0.6867,0.7023,0.7519
087,0.6975,0.703,0.7347,0.7185,0.7078
088,0.8374,0.7428,0.7512,0.7469,0.7896
089,0.8289,0.7214,0.6907,0.7057,0.7624
090,0.7757,0.7049,0.6751,0.6897,0.7302
091,0.7413,0.6902,0.6878,0.689,0.7142
092,0.7334,0.6975,0.7069,0.7022,0.7174
093,0.7892,0.7218,0.6918,0.7065,0.7456
094,0.7765,0.7042,0.6923,0.6982,0.7353
095,0.7949,0.7227,0.7285,0.7256,0.7586
096,0.7435,0.7586,0.711,0.734,0.7387
097,0.785,0.6689,0.6805,0.6746,0.7256
098,0.7507,0.7139,0.6968,0.7053,0.7273
099,0.7524,0.7262,0.6847,0.7048,0.7278
100,0.74,0.6546,0.6429,0.6487,0.6914
101,0.6333,0.6509,0.6199,0.635,0.6342
102,0.7693,0.6998,0.7379,0.7184,0.743
103,0.7487,0.7335,0.7288,0.7312,0.7398
104,0.8391,0.7451,0.7257,0.7353,0.7838
105,0.7172,0.6841,0.7242,0.7036,0.7103
106,0.7864,0.691,0.7113,0.701,0.7412
107,0.7796,0.7149,0.7406,0.7275,0.7527
108,0.8,0.7005,0.7215,0.7109,0.7528
109,0.7914,0.7265,0.7796,0.7521,0.7713
110,0.7747,0.7556,0.7419,0.7487,0.7615
111,0.8315,0.7598,0.7688,0.7643,0.7965
112,0.8163,0.7171,0.7152,0.7161,0.763
113,0.7968,0.7465,0.7357,0.7411,0.7679
114,0.7066,0.6009,0.6595,0.6288,0.6654
115,0.8045,0.7361,0.7423,0.7391,0.7704
116,0.7887,0.711,0.7638,0.7365,0.7617
117,0.6867,0.7068,0.7044,0.7056,0.696
118,0.7531,0.7191,0.7538,0.736,0.7445
119,0.749,0.7155,0.7229,0.7192,0.7338
120,0.7711,0.7468,0.7586,0.7526,0.7617
121,0.6569,0.6929,0.7028,0.6978,0.6768
122,0.7192,0.704,0.7252,0.7144,0.7168
123,0.8191,0.7509,0.7405,0.7456,0.7806
124,0.6904,0.7235,0.6974,0.7102,0.7002
125,0.6491,0.6834,0.6528,0.6678,0.6583
127,0.8268,0.7058,0.7435,0.7242,0.7721
128,0.9044,0.7884,0.7818,0.7851,0.8405
129,0.8353,0.7045,0.7499,0.7265,0.7771
130,0.7002,0.6689,0.6521,0.6604,0.6797
131,0.6889,0.7092,0.7041,0.7067,0.6977
132,0.6976,0.7355,0.7056,0.7202,0.7087
133,0.82,0.7288,0.7241,0.7265,0.7704
134,0.7855,0.7147,0.7457,0.7299,0.7567
135,0.7326,0.6673,0.671,0.6691,0.6994
136,0.7946,0.7033,0.7203,0.7117,0.7509
137,0.6681,0.6839,0.7035,0.6936,0.6806
138,0.7773,0.7339,0.7143,0.724,0.7497
139,0.8059,0.769,0.7686,0.7688,0.7869
140,0.7411,0.692,0.6743,0.683,0.7109
141,0.7731,0.7461,0.7845,0.7648,0.769
142,0.7136,0.6453,0.696,0.6697,0.691
143,0.8317,0.7248,0.7286,0.7267,0.7756
144,0.7621,0.6738,0.6794,0.6766,0.7168
145,0.7461,0.6999,0.7381,0.7185,0.732
146,0.735,0.6773,0.6961,0.6866,0.7099
147,0.7286,0.7019,0.6897,0.6958,0.7118
148,0.7986,0.7469,0.7737,0.7601,0.7788
149,0.8095,0.7363,0.7632,0.7495,0.7784
150,0.7781,0.7363,0.7092,0.7225,0.7493
151,0.8024,0.736,0.707,0.7212,0.7597
152,0.7921,0.723,0.7364,0.7296,0.7596
153,0.7125,0.6824,0.6962,0.6892,0.7007
154,0.7322,0.6623,0.6951,0.6783,0.7042
155,0.7141,0.7027,0.7053,0.704,0.709
156,0.8032,0.7148,0.7463,0.7302,0.7649
157,0.786,0.709,0.7096,0.7093,0.7457
158,0.6886,0.6921,0.6867,0.6894,0.689
159,0.7989,0.7241,0.7121,0.718,0.7563
160,0.6782,0.6674,0.7474,0.7052,0.6914
161,0.7626,0.6774,0.6608,0.669,0.7127
162,0.7457,0.7724,0.7719,0.7722,0.7587
163,0.7608,0.7361,0.8234,0.7773,0.769
164,0.7732,0.7265,0.726,0.7262,0.749
165,0.7737,0.7251,0.7354,0.7302,0.7514
166,0.7671,0.6928,0.7075,0.7001,0.7321
167,0.7554,0.6967,0.7122,0.7044,0.729
168,0.6777,0.6642,0.6862,0.675,0.6763
169,0.7832,0.7234,0.757,0.7398,0.7609
170,0.7754,0.7246,0.7383,0.7314,0.7528
171,0.8531,0.7549,0.7752,0.7649,0.8066
172,0.7527,0.6854,0.6838,0.6846,0.717
173,0.7244,0.7013,0.7114,0.7063,0.7152
174,0.8436,0.7131,0.7335,0.7231,0.7788
175,0.7205,0.7192,0.6902,0.7044,0.7124
176,0.7476,0.7413,0.7528,0.747,0.7473
177,0.7735,0.7107,0.7432,0.7266,0.7493
178,0.8073,0.7389,0.758,0.7484,0.7767
179,0.8124,0.7284,0.7812,0.7539,0.782
180,0.7923,0.6926,0.7058,0.6991,0.7428
181,0.8043,0.7427,0.7625,0.7524,0.7775
182,0.7385,0.7037,0.693,0.6983,0.7179
183,0.8041,0.6994,0.7307,0.7147,0.7567
184,0.7066,0.6619,0.7011,0.6809,0.6935
185,0.727,0.7211,0.7131,0.7171,0.722
186,0.7896,0.711,0.7229,0.7169,0.7515
187,0.7511,0.6629,0.7686,0.7119,0.731
188,0.7364,0.7295,0.7247,0.7271,0.7317
189,0.8502,0.7479,0.7591,0.7534,0.7989
190,0.825,0.7413,0.7265,0.7338,0.7767
191,0.7612,0.7229,0.7209,0.7219,0.741
192,0.8059,0.7323,0.7613,0.7465,0.7751
193,0.7637,0.695,0.73,0.712,0.7369
194,0.8219,0.6817,0.7247,0.7026,0.7576
195,0.8624,0.7365,0.781,0.7581,0.8069
196,0.7804,0.7277,0.7348,0.7312,0.755
197,0.8014,0.7316,0.7633,0.7471,0.7733
198,0.7945,0.7542,0.7891,0.7713,0.7827
199,0.8315,0.7193,0.7347,0.7269,0.7757
200,0.8354,0.7657,0.7983,0.7817,0.8077
