video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7831,0.7345,0.721,0.7277,0.7544
002,0.7567,0.6977,0.6921,0.6949,0.7245
003,0.7655,0.7206,0.7209,0.7207,0.7424
004,0.772,0.7334,0.7164,0.7248,0.7477
005,0.8197,0.7175,0.7209,0.7192,0.7662
006,0.7955,0.7158,0.722,0.7189,0.7552
007,0.7119,0.7266,0.6696,0.6969,0.7043
008,0.8088,0.7595,0.7233,0.741,0.7734
009,0.7083,0.7375,0.7072,0.722,0.7151
010,0.799,0.7502,0.7233,0.7365,0.7665
011,0.6767,0.7013,0.7131,0.7072,0.6916
012,0.7161,0.6661,0.6983,0.6819,0.6986
013,0.7195,0.7341,0.6721,0.7017,0.7105
014,0.716,0.703,0.6671,0.6845,0.6999
015,0.787,0.7157,0.7029,0.7093,0.7461
016,0.7929,0.7289,0.7089,0.7188,0.754
017,0.768,0.6861,0.6698,0.6779,0.7201
018,0.7548,0.7552,0.6922,0.7223,0.7382
019,0.8455,0.7603,0.7398,0.7499,0.7948
020,0.7485,0.767,0.7141,0.7396,0.744
021,0.6563,0.6652,0.6592,0.6622,0.6592
022,0.8197,0.7924,0.7474,0.7693,0.7937
023,0.7506,0.7167,0.7154,0.716,0.7329
024,0.7877,0.7443,0.7334,0.7388,0.7625
025,0.7743,0.7378,0.7087,0.7229,0.7477
026,0.7449,0.704,0.7072,0.7056,0.7247
027,0.6946,0.7225,0.6855,0.7035,0.6991
028,0.7719,0.7266,0.7123,0.7193,0.7447
029,0.6998,0.6972,0.7021,0.6996,0.6997
030,0.7832,0.7386,0.7104,0.7242,0.7526
031,0.691,0.7153,0.6787,0.6965,0.6937
032,0.7151,0.6781,0.6571,0.6674,0.6904
033,0.7015,0.6573,0.6498,0.6536,0.6767
034,0.7743,0.7312,0.7335,0.7323,0.7527
035,0.7657,0.7215,0.7244,0.7229,0.7437
036,0.7241,0.6893,0.678,0.6836,0.7033
037,0.8114,0.7545,0.7377,0.746,0.7773
038,0.7756,0.7103,0.7114,0.7108,0.7418
039,0.719,0.7421,0.7269,0.7345,0.7267
040,0.8056,0.7547,0.7233,0.7387,0.7707
041,0.6785,0.6777,0.6558,0.6666,0.6725
042,0.582,0.669,0.6464,0.6575,0.6175
043,0.7166,0.7068,0.6808,0.6936,0.7049
044,0.7569,0.7117,0.6987,0.7051,0.7301
045,0.7255,0.6966,0.6562,0.6758,0.6997
046,0.7051,0.7496,0.7248,0.737,0.7207
047,0.7353,0.6839,0.7079,0.6957,0.715
048,0.7881,0.6993,0.7377,0.718,0.7514
049,0.663,0.712,0.7274,0.7196,0.6901
050,0.7371,0.7269,0.7073,0.717,0.7269
051,0.7796,0.707,0.7079,0.7074,0.7418
052,0.6758,0.7327,0.703,0.7176,0.6961
053,0.4857,0.6062,0.5386,0.5704,0.5246
054,0.7598,0.679,0.7024,0.6905,0.7235
055,0.766,0.6823,0.6961,0.6891,0.7255
056,0.68,0.689,0.667,0.6778,0.6789
057,0.7449,0.6898,0.679,0.6843,0.7134
058,0.7768,0.7158,0.6961,0.7058,0.7396
059,0.7599,0.7025,0.694,0.6982,0.7278
060,0.754,0.684,0.6784,0.6812,0.7157
061,0.6777,0.7013,0.7035,0.7024,0.6899
062,0.8029,0.7112,0.694,0.7025,0.7493
063,0.6217,0.7091,0.7258,0.7174,0.6661
064,0.8398,0.7496,0.7253,0.7373,0.7852
065,0.7742,0.6881,0.6848,0.6864,0.7277
066,0.7351,0.7107,0.6823,0.6962,0.7151
067,0.8204,0.7518,0.7259,0.7386,0.7774
068,0.8619,0.7542,0.7432,0.7487,0.8013
069,0.7817,0.7388,0.7129,0.7256,0.7526
070,0.4609,0.5544,0.4851,0.5174,0.4875
071,0.8,0.7312,0.7117,0.7213,0.7586
072,0.7506,0.7359,0.7165,0.7261,0.7381
073,0.7454,0.6995,0.7239,0.7115,0.7281
074,0.8134,0.7456,0.7132,0.7291,0.7689
075,0.6716,0.6693,0.6552,0.6622,0.6669
076,0.7158,0.7146,0.6465,0.6788,0.6968
077,0.7906,0.7187,0.6811,0.6994,0.7422
078,0.5792,0.6565,0.6203,0.6379,0.6071
079,0.707,0.7063,0.6889,0.6975,0.7022
080,0.7155,0.6828,0.6684,0.6756,0.6949
081,0.7552,0.6747,0.6701,0.6724,0.7114
082,0.752,0.7242,0.7117,0.7179,0.7346
083,0.7581,0.734,0.7292,0.7316,0.7446
084,0.706,0.6933,0.7004,0.6969,0.7014
085,0.7741,0.718,0.7075,0.7127,0.7421
086,0.7009,0.7405,0.6725,0.7049,0.7029
087,0.6623,0.7191,0.7232,0.7212,0.6905
088,0.7409,0.7001,0.7483,0.7234,0.7321
089,0.7701,0.7128,0.6921,0.7023,0.7346
090,0.7234,0.6986,0.6867,0.6926,0.7076
091,0.7771,0.7113,0.7203,0.7158,0.7452
092,0.7185,0.6327,0.6975,0.6635,0.6899
093,0.7626,0.6939,0.7232,0.7083,0.7344
094,0.7708,0.7004,0.723,0.7115,0.74
095,0.7711,0.7153,0.6794,0.6969,0.7321
096,0.7353,0.7523,0.7301,0.741,0.7382
097,0.7498,0.6906,0.7088,0.6996,0.7238
098,0.6821,0.7949,0.7508,0.7722,0.7244
099,0.8158,0.7259,0.7315,0.7287,0.7698
100,0.647,0.6659,0.6571,0.6615,0.6541
101,0.7118,0.6887,0.6902,0.6895,0.7005
102,0.8361,0.7071,0.7225,0.7147,0.7706
103,0.7223,0.6838,0.7195,0.7012,0.7116
104,0.8215,0.7149,0.7142,0.7145,0.7643
105,0.7255,0.7152,0.7007,0.7079,0.7166
106,0.7901,0.7058,0.7255,0.7155,0.7509
107,0.7176,0.7167,0.7069,0.7118,0.7147
108,0.681,0.7543,0.7115,0.7323,0.7057
109,0.7375,0.6983,0.7416,0.7193,0.7283
110,0.7903,0.7284,0.7228,0.7256,0.7566
111,0.7344,0.7553,0.7224,0.7385,0.7364
112,0.7733,0.6819,0.7198,0.7003,0.735
113,0.6117,0.6608,0.6592,0.66,0.6349
114,0.7128,0.6642,0.6841,0.674,0.6929
115,0.7842,0.7198,0.7398,0.7297,0.7559
116,0.7679,0.716,0.7356,0.7256,0.7461
117,0.6622,0.6843,0.7051,0.6945,0.678
118,0.7409,0.7084,0.7144,0.7114,0.7258
119,0.7081,0.6991,0.6913,0.6952,0.7016
120,0.7073,0.6938,0.7281,0.7106,0.7089
121,0.7634,0.7863,0.7459,0.7656,0.7645
122,0.6814,0.6681,0.6855,0.6767,0.679
123,0.8251,0.7498,0.7096,0.7291,0.7742
124,0.6624,0.68,0.6792,0.6796,0.6709
125,0.6204,0.6658,0.6701,0.668,0.6433
127,0.7363,0.6832,0.7014,0.6922,0.7136
128,0.8893,0.8172,0.7654,0.7904,0.8369
129,0.7158,0.7037,0.7201,0.7118,0.7138
130,0.6887,0.6624,0.6791,0.6707,0.6796
131,0.6245,0.6711,0.6698,0.6704,0.6467
132,0.7144,0.6855,0.6959,0.6907,0.7023
133,0.7847,0.687,0.6998,0.6934,0.7362
134,0.7819,0.7025,0.7228,0.7125,0.7456
135,0.8267,0.6898,0.6834,0.6866,0.7502
136,0.6654,0.6844,0.7203,0.7019,0.6832
137,0.662,0.6248,0.7317,0.674,0.6679
138,0.7176,0.6973,0.6917,0.6944,0.7059
139,0.8026,0.7662,0.7736,0.7699,0.7859
140,0.6875,0.6575,0.6436,0.6505,0.6685
141,0.8085,0.7734,0.7727,0.7731,0.7904
142,0.6259,0.7142,0.7074,0.7108,0.6656
143,0.8086,0.7636,0.7359,0.7495,0.7779
144,0.7052,0.6461,0.6429,0.6445,0.6735
145,0.8222,0.7612,0.8057,0.7828,0.802
146,0.7049,0.6952,0.7202,0.7075,0.7062
147,0.7484,0.7136,0.7118,0.7127,0.7301
148,0.771,0.6883,0.686,0.6871,0.7267
149,0.7954,0.7071,0.7549,0.7302,0.7614
150,0.7907,0.7474,0.746,0.7467,0.7681
151,0.6377,0.6784,0.7086,0.6932,0.6643
152,0.7713,0.7138,0.7087,0.7112,0.7401
153,0.7082,0.6758,0.7139,0.6943,0.7012
154,0.739,0.6859,0.7071,0.6963,0.717
155,0.7719,0.7153,0.7458,0.7302,0.7505
156,0.5795,0.6363,0.5668,0.5996,0.5894
157,0.6481,0.7049,0.7348,0.7196,0.682
158,0.5846,0.6505,0.6513,0.6509,0.616
159,0.7877,0.7341,0.7312,0.7326,0.7592
160,0.8398,0.7764,0.7932,0.7847,0.8113
161,0.7947,0.7202,0.7003,0.7101,0.7501
162,0.7501,0.7393,0.7517,0.7454,0.7477
163,0.7432,0.7023,0.7793,0.7388,0.741
164,0.7686,0.7158,0.7165,0.7162,0.7415
165,0.7894,0.7709,0.7587,0.7647,0.7769
166,0.751,0.6642,0.6841,0.674,0.7105
167,0.6686,0.6477,0.6908,0.6686,0.6686
168,0.6138,0.6724,0.6768,0.6746,0.6428
169,0.7303,0.6929,0.7524,0.7214,0.7258
170,0.7423,0.7272,0.7054,0.7161,0.729
171,0.7709,0.7064,0.742,0.7237,0.7466
172,0.6983,0.6997,0.7182,0.7088,0.7035
173,0.708,0.6791,0.6859,0.6825,0.695
174,0.6763,0.7408,0.7447,0.7428,0.708
175,0.7466,0.6969,0.7209,0.7087,0.7271
176,0.8019,0.714,0.7505,0.7318,0.7653
177,0.7008,0.6791,0.6979,0.6883,0.6945
178,0.7841,0.6715,0.7247,0.6971,0.7381
179,0.7995,0.7443,0.7671,0.7555,0.7769
180,0.6609,0.6492,0.6864,0.6673,0.6641
181,0.5887,0.6323,0.6825,0.6565,0.6207
182,0.6872,0.6437,0.6713,0.6572,0.6719
183,0.2933,0.5426,0.4447,0.4888,0.3666
184,0.6819,0.6774,0.698,0.6875,0.6847
185,0.686,0.6835,0.7097,0.6964,0.6911
186,0.7196,0.6783,0.7538,0.714,0.7168
187,0.7198,0.6758,0.725,0.6995,0.7095
188,0.7237,0.7107,0.7164,0.7136,0.7186
189,0.8253,0.709,0.7381,0.7233,0.7709
190,0.7832,0.7375,0.7403,0.7389,0.7604
191,0.8025,0.7388,0.7677,0.753,0.7769
192,0.8358,0.7144,0.7605,0.7367,0.7831
193,0.8115,0.7084,0.77,0.7379,0.773
194,0.7185,0.6641,0.7196,0.6908,0.7044
195,0.7671,0.7234,0.7461,0.7346,0.7505
196,0.7684,0.6993,0.7275,0.7131,0.7397
197,0.6428,0.6649,0.6984,0.6812,0.6615
198,0.8406,0.7542,0.7704,0.7622,0.7995
199,0.7626,0.7323,0.7225,0.7274,0.7446
200,0.7809,0.702,0.7372,0.7192,0.7488
