video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6321,0.7932,0.7082,0.7483,0.6853
002,0.6824,0.777,0.6774,0.7238,0.7025
003,0.6407,0.7125,0.6352,0.6716,0.6558
004,0.613,0.6855,0.6583,0.6717,0.641
005,0.4337,0.621,0.5465,0.5814,0.4968
006,0.5482,0.7289,0.6146,0.6669,0.6018
007,0.6384,0.671,0.641,0.6556,0.6469
008,0.7183,0.7342,0.6729,0.7022,0.7102
009,0.6009,0.6949,0.6487,0.671,0.634
010,0.7257,0.7386,0.6751,0.7054,0.7154
011,0.6661,0.7015,0.6776,0.6894,0.6775
012,0.4918,0.6587,0.5813,0.6176,0.5476
013,0.6777,0.7768,0.6476,0.7063,0.6917
014,0.604,0.7188,0.6055,0.6573,0.6295
015,0.4797,0.6578,0.6041,0.6298,0.5446
016,0.6489,0.7583,0.6509,0.7005,0.6737
017,0.6675,0.7233,0.618,0.6665,0.667
018,0.6738,0.7887,0.6695,0.7242,0.6981
019,0.6732,0.8126,0.6547,0.7251,0.6982
020,0.7766,0.8018,0.7008,0.7479,0.762
021,0.6822,0.6942,0.6477,0.6702,0.6761
022,0.7609,0.7979,0.7154,0.7544,0.7576
023,0.6966,0.7184,0.7002,0.7092,0.7028
024,0.642,0.7459,0.6417,0.6899,0.6651
025,0.6733,0.7623,0.6673,0.7116,0.6919
026,0.7014,0.7542,0.682,0.7163,0.7088
027,0.6512,0.7267,0.642,0.6817,0.6661
028,0.5407,0.7538,0.5741,0.6518,0.5911
029,0.6378,0.6954,0.6298,0.661,0.6492
030,0.6548,0.7639,0.6529,0.704,0.6785
031,0.579,0.7016,0.6664,0.6835,0.627
032,0.7212,0.7285,0.6832,0.7051,0.713
033,0.5714,0.6958,0.6268,0.6595,0.6123
034,0.7928,0.7635,0.7459,0.7546,0.7732
035,0.6452,0.686,0.6345,0.6592,0.6522
036,0.549,0.6322,0.5744,0.6019,0.5742
037,0.6872,0.7393,0.6401,0.6861,0.6866
038,0.5921,0.6836,0.6389,0.6605,0.6244
039,0.6617,0.7057,0.7065,0.7061,0.6831
040,0.6795,0.709,0.6689,0.6884,0.6839
041,0.5496,0.6481,0.6106,0.6288,0.5865
042,0.5184,0.6881,0.5829,0.6312,0.5693
043,0.5983,0.7296,0.6126,0.666,0.6304
044,0.6479,0.6734,0.6536,0.6633,0.6556
045,0.5931,0.7144,0.5901,0.6463,0.6186
046,0.6764,0.7941,0.6397,0.7085,0.6921
047,0.6326,0.727,0.6332,0.6768,0.654
048,0.686,0.7013,0.6669,0.6836,0.6848
049,0.6544,0.6992,0.6404,0.6685,0.6614
050,0.6973,0.7856,0.6818,0.73,0.7133
051,0.661,0.7101,0.59,0.6445,0.6526
052,0.6493,0.7138,0.5979,0.6508,0.6501
053,0.5466,0.6792,0.6269,0.652,0.5947
054,0.5697,0.6498,0.594,0.6207,0.5941
