video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7916,0.7356,0.7217,0.7286,0.7588
002,0.7987,0.7376,0.7144,0.7258,0.7605
003,0.809,0.7242,0.715,0.7195,0.7617
004,0.719,0.6898,0.6739,0.6818,0.6999
005,0.7455,0.7485,0.7211,0.7346,0.74
006,0.7273,0.7135,0.7302,0.7217,0.7245
007,0.7889,0.7421,0.716,0.7288,0.7577
008,0.7314,0.7269,0.7109,0.7188,0.725
009,0.6027,0.7057,0.7119,0.7088,0.6514
010,0.7624,0.7516,0.6892,0.719,0.7401
011,0.7099,0.7439,0.7318,0.7378,0.7236
012,0.6916,0.7003,0.6726,0.6861,0.6889
013,0.7045,0.7224,0.6918,0.7068,0.7056
014,0.7566,0.72,0.6553,0.6861,0.7196
015,0.7484,0.7164,0.69,0.7029,0.7249
016,0.7056,0.7162,0.6967,0.7063,0.7059
017,0.8005,0.7467,0.7322,0.7394,0.7687
018,0.7644,0.7339,0.706,0.7197,0.7414
019,0.7025,0.7492,0.7046,0.7262,0.7141
020,0.7051,0.7601,0.7287,0.7441,0.7241
021,0.7755,0.7202,0.7263,0.7232,0.7484
022,0.7685,0.7865,0.7562,0.7711,0.7698
023,0.8399,0.7625,0.7383,0.7502,0.7925
024,0.809,0.74,0.7367,0.7383,0.772
025,0.7408,0.7239,0.7318,0.7278,0.7343
026,0.7918,0.7425,0.7069,0.7243,0.7566
027,0.7422,0.7205,0.721,0.7208,0.7313
028,0.7459,0.7039,0.7203,0.712,0.7286
029,0.7371,0.6919,0.6637,0.6775,0.7061
030,0.6582,0.6882,0.6892,0.6887,0.6731
031,0.6917,0.7149,0.7175,0.7162,0.7037
032,0.7666,0.6628,0.6536,0.6582,0.7083
033,0.7267,0.7122,0.7116,0.7119,0.7193
034,0.6888,0.6594,0.6774,0.6683,0.6784
035,0.8205,0.7104,0.6856,0.6978,0.7542
036,0.6696,0.6923,0.657,0.6742,0.6719
037,0.8169,0.7573,0.7561,0.7567,0.7856
038,0.696,0.6838,0.6547,0.6689,0.6822
039,0.7179,0.6958,0.6963,0.696,0.7068
040,0.7581,0.745,0.7174,0.7309,0.7443
041,0.7335,0.7354,0.6731,0.7029,0.7179
042,0.6678,0.7295,0.6861,0.7071,0.6869
043,0.7188,0.6967,0.6538,0.6746,0.696
044,0.6985,0.7083,0.6947,0.7014,0.7
045,0.7254,0.719,0.6574,0.6868,0.7056
046,0.7504,0.7595,0.7197,0.7391,0.7447
047,0.7799,0.6947,0.6885,0.6916,0.7331
048,0.7934,0.7629,0.7611,0.762,0.7774
049,0.7337,0.7248,0.7024,0.7134,0.7234
050,0.6968,0.777,0.6942,0.7333,0.7145
051,0.7572,0.6691,0.6999,0.6842,0.7188
052,0.6827,0.7181,0.7026,0.7103,0.6962
053,0.5856,0.7005,0.6807,0.6905,0.6337
054,0.751,0.6958,0.6832,0.6894,0.7189
055,0.7291,0.7115,0.6852,0.6981,0.7133
056,0.756,0.7269,0.6178,0.6679,0.7092
057,0.8214,0.7648,0.7743,0.7695,0.7946
058,0.6903,0.6884,0.6849,0.6866,0.6885
059,0.8148,0.7611,0.7222,0.7411,0.7762
060,0.7763,0.7017,0.6683,0.6846,0.7276
061,0.8242,0.7531,0.7426,0.7478,0.7842
062,0.7573,0.7344,0.7182,0.7262,0.7414
063,0.6177,0.7137,0.6552,0.6832,0.6488
064,0.8415,0.7388,0.7157,0.7271,0.7801
065,0.7478,0.725,0.7045,0.7146,0.7308
066,0.816,0.7518,0.7318,0.7417,0.7771
067,0.7845,0.7263,0.6821,0.7035,0.7418
068,0.8747,0.767,0.7273,0.7467,0.8056
069,0.6896,0.7224,0.7219,0.7221,0.7055
070,0.8444,0.7754,0.7898,0.7825,0.8123
071,0.7663,0.728,0.7122,0.72,0.7425
072,0.8096,0.7498,0.7366,0.7431,0.7749
073,0.7576,0.7483,0.7412,0.7447,0.7511
074,0.7735,0.7609,0.7133,0.7364,0.7545
075,0.6821,0.6883,0.6782,0.6832,0.6827
076,0.6924,0.6929,0.6111,0.6494,0.6702
077,0.7448,0.7447,0.7327,0.7386,0.7417
078,0.7998,0.7561,0.7171,0.7361,0.7666
079,0.7627,0.766,0.7415,0.7535,0.7581
080,0.6796,0.707,0.6814,0.6939,0.6867
081,0.7813,0.7278,0.6841,0.7053,0.7413
