video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.7881,0.7683,0.7222,0.7446,0.7657
002,0.8895,0.7815,0.7664,0.7739,0.8276
003,0.8484,0.764,0.7607,0.7624,0.8031
004,0.8138,0.7881,0.7571,0.7723,0.7925
005,0.8878,0.7888,0.7599,0.774,0.827
006,0.8816,0.804,0.7716,0.7875,0.8319
007,0.8969,0.7845,0.7696,0.777,0.8327
008,0.8053,0.7496,0.7405,0.745,0.774
009,0.7114,0.754,0.7326,0.7432,0.7269
010,0.9126,0.7972,0.7646,0.7806,0.8414
011,0.7534,0.7697,0.746,0.7576,0.7555
012,0.8184,0.7597,0.7364,0.7478,0.7815
013,0.7932,0.7876,0.7453,0.7658,0.7793
014,0.8483,0.7711,0.7319,0.751,0.7967
015,0.8922,0.8125,0.775,0.7934,0.8399
016,0.7853,0.7328,0.7266,0.7297,0.7565
017,0.8534,0.7666,0.7331,0.7495,0.7981
018,0.7266,0.8128,0.7258,0.7669,0.7462
019,0.697,0.7765,0.8021,0.7891,0.7402
020,0.8404,0.7862,0.7454,0.7653,0.8011
021,0.8426,0.7604,0.7648,0.7626,0.8006
022,0.854,0.8107,0.7908,0.8006,0.8265
023,0.8608,0.8149,0.8014,0.8081,0.8336
024,0.8752,0.7882,0.7627,0.7752,0.8222
025,0.8217,0.7543,0.7648,0.7595,0.7894
026,0.7895,0.7892,0.7498,0.769,0.7791
027,0.7932,0.767,0.7634,0.7652,0.7789
028,0.8314,0.7122,0.7556,0.7333,0.7792
029,0.8252,0.7676,0.739,0.7531,0.7875
030,0.8663,0.7683,0.7457,0.7568,0.8079
031,0.8621,0.7758,0.7519,0.7636,0.8099
032,0.8165,0.7626,0.733,0.7475,0.7805
033,0.8684,0.7604,0.7504,0.7554,0.8079
034,0.7514,0.756,0.7412,0.7485,0.75
035,0.7605,0.7936,0.7538,0.7732,0.7668
036,0.7735,0.7216,0.7298,0.7257,0.7489
037,0.8621,0.7736,0.7478,0.7605,0.8081
038,0.878,0.8006,0.7665,0.7832,0.8279
039,0.8979,0.7839,0.7874,0.7857,0.838
