video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6396,0.5713,0.5228,0.546,0.5891
002,0.6715,0.5071,0.439,0.4706,0.5534
003,0.5847,0.5951,0.5257,0.5583,0.5712
004,0.6402,0.6398,0.5405,0.586,0.6119
005,0.6011,0.5162,0.4719,0.4931,0.5418
006,0.5921,0.5746,0.4693,0.5166,0.5518
007,0.6816,0.6172,0.5064,0.5563,0.6126
008,0.5953,0.5571,0.4863,0.5193,0.5547
009,0.5089,0.5476,0.4418,0.489,0.4988
010,0.6849,0.6521,0.5267,0.5827,0.6297
011,0.5234,0.5663,0.4796,0.5194,0.5214
012,0.6001,0.5889,0.5083,0.5457,0.5716
013,0.6807,0.624,0.5049,0.5582,0.6134
014,0.6486,0.569,0.4902,0.5266,0.5813
015,0.7275,0.5466,0.4947,0.5194,0.6061
016,0.5454,0.5148,0.4415,0.4754,0.508
017,0.6281,0.5596,0.485,0.5196,0.5687
018,0.6414,0.5913,0.4263,0.4954,0.559
019,0.6779,0.5913,0.531,0.5595,0.613
020,0.7201,0.6369,0.5383,0.5835,0.6446
021,0.5914,0.5112,0.4319,0.4682,0.5227
022,0.6104,0.5513,0.4909,0.5194,0.5612
023,0.6997,0.5999,0.519,0.5565,0.6199
024,0.7288,0.6038,0.5485,0.5748,0.6427
025,0.6759,0.6518,0.5785,0.613,0.6429
026,0.7134,0.539,0.5063,0.5221,0.6029
027,0.6334,0.502,0.4444,0.4714,0.5405
028,0.6594,0.5291,0.478,0.5022,0.5702
029,0.6163,0.4945,0.4602,0.4767,0.5376
030,0.6514,0.5916,0.5032,0.5438,0.5928
031,0.5488,0.5018,0.4758,0.4885,0.5169
032,0.7305,0.5322,0.5138,0.5228,0.6095
033,0.6197,0.6311,0.5047,0.5609,0.5888
034,0.6089,0.4724,0.52,0.4951,0.5461
035,0.8037,0.6189,0.5293,0.5706,0.6674
036,0.5197,0.4598,0.4076,0.4321,0.4719
037,0.7028,0.6525,0.5338,0.5872,0.6398
038,0.6073,0.5533,0.4818,0.5151,0.5574
039,0.7304,0.666,0.5942,0.628,0.6754
040,0.6986,0.6473,0.5476,0.5933,0.6416
041,0.6166,0.5528,0.5135,0.5324,0.5714
042,0.4778,0.5797,0.4403,0.5005,0.4889
043,0.5845,0.5753,0.4337,0.4945,0.5358
044,0.6452,0.5614,0.4888,0.5226,0.5775
045,0.7438,0.5805,0.5289,0.5535,0.6347
046,0.6958,0.5475,0.4831,0.5133,0.5908
047,0.6908,0.6014,0.5389,0.5684,0.6237
048,0.6487,0.5327,0.5144,0.5234,0.5793
049,0.7307,0.6268,0.557,0.5899,0.6528
050,0.6421,0.5861,0.4856,0.5311,0.5814
051,0.7198,0.5777,0.505,0.5389,0.6163
052,0.5972,0.5408,0.4883,0.5132,0.552
053,0.4495,0.5173,0.4732,0.4942,0.4708
054,0.6861,0.5023,0.499,0.5007,0.5789
055,0.6428,0.5583,0.4992,0.5271,0.5792
056,0.6075,0.4622,0.4031,0.4306,0.504
057,0.6792,0.5042,0.4729,0.4881,0.568
