video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6597,0.499,0.4872,0.493,0.5643
002,0.6163,0.5366,0.5133,0.5247,0.5668
003,0.6119,0.4897,0.4943,0.492,0.5454
004,0.4989,0.4741,0.44,0.4564,0.4767
005,0.5505,0.5543,0.5161,0.5345,0.5424
006,0.5666,0.4965,0.4961,0.4963,0.5291
007,0.6245,0.5406,0.4986,0.5188,0.5667
008,0.4823,0.4712,0.4573,0.4642,0.473
009,0.4187,0.4951,0.4668,0.4805,0.4475
010,0.523,0.5358,0.4541,0.4916,0.5068
011,0.4939,0.5381,0.5386,0.5384,0.5152
012,0.4689,0.461,0.4199,0.4395,0.4537
013,0.4922,0.5014,0.4576,0.4785,0.4853
014,0.6105,0.5058,0.4114,0.4537,0.5206
015,0.5297,0.4653,0.4464,0.4557,0.4899
016,0.4754,0.4538,0.4283,0.4407,0.4574
017,0.6019,0.5511,0.5291,0.5399,0.5692
018,0.5072,0.5306,0.4772,0.5025,0.5049
019,0.5001,0.5287,0.4878,0.5074,0.5037
020,0.5398,0.5545,0.5282,0.541,0.5404
021,0.6268,0.4833,0.4964,0.4898,0.5499
022,0.5736,0.5627,0.5407,0.5514,0.5623
023,0.7243,0.5735,0.5309,0.5514,0.6261
024,0.65,0.5241,0.5307,0.5274,0.5823
025,0.5319,0.4979,0.5199,0.5087,0.52
026,0.5911,0.5155,0.4861,0.5004,0.5419
027,0.6084,0.4877,0.5146,0.5008,0.5494
028,0.539,0.4781,0.5208,0.4986,0.518
029,0.5768,0.4494,0.4243,0.4365,0.4969
030,0.4231,0.4634,0.4722,0.4677,0.4443
031,0.4899,0.4781,0.5169,0.4968,0.4933
032,0.5574,0.4226,0.4205,0.4215,0.48
033,0.4902,0.5153,0.4946,0.5048,0.4974
034,0.5242,0.3991,0.4328,0.4153,0.4634
035,0.6668,0.4862,0.4538,0.4695,0.551
036,0.4877,0.478,0.4245,0.4496,0.4679
037,0.6482,0.5375,0.5639,0.5504,0.5953
038,0.4765,0.4586,0.4263,0.4419,0.4585
039,0.429,0.4406,0.4381,0.4394,0.4341
040,0.6168,0.5212,0.5099,0.5155,0.5616
041,0.5423,0.4973,0.425,0.4583,0.4968
042,0.5079,0.4972,0.4592,0.4775,0.4922
043,0.5087,0.4694,0.4225,0.4447,0.4746
044,0.4894,0.4729,0.4545,0.4635,0.4761
045,0.5122,0.5091,0.4458,0.4753,0.4931
046,0.5152,0.5356,0.5197,0.5275,0.5213
047,0.5587,0.4797,0.4525,0.4657,0.508
048,0.5727,0.5299,0.5241,0.527,0.5489
049,0.5362,0.5132,0.4926,0.5027,0.5189
050,0.5236,0.564,0.4744,0.5153,0.5194
051,0.5808,0.4286,0.4282,0.4284,0.4931
052,0.5084,0.4808,0.4602,0.4703,0.4886
053,0.3841,0.4791,0.4435,0.4606,0.4189
054,0.6134,0.4052,0.4053,0.4053,0.488
055,0.5002,0.4656,0.4435,0.4543,0.4762
056,0.5829,0.4806,0.3462,0.4025,0.4762
057,0.6386,0.5429,0.5431,0.543,0.5869
058,0.4823,0.4678,0.478,0.4728,0.4775
059,0.6815,0.5559,0.5062,0.5299,0.5962
060,0.6391,0.4791,0.4507,0.4645,0.538
061,0.7072,0.5581,0.5389,0.5483,0.6177
062,0.5778,0.5158,0.4886,0.5019,0.5372
063,0.509,0.4933,0.4225,0.4552,0.4806
064,0.6469,0.5235,0.496,0.5094,0.5699
065,0.5603,0.5271,0.4863,0.5059,0.5317
066,0.7255,0.5428,0.5278,0.5352,0.616
067,0.597,0.4806,0.4333,0.4558,0.5169
068,0.7146,0.5524,0.5159,0.5335,0.6109
069,0.4802,0.5199,0.5029,0.5112,0.4952
070,0.744,0.5607,0.5973,0.5784,0.6508
071,0.6017,0.4908,0.4843,0.4875,0.5386
072,0.5939,0.5125,0.5187,0.5156,0.552
073,0.6227,0.5446,0.5442,0.5444,0.5809
074,0.6249,0.5345,0.4935,0.5132,0.5636
075,0.487,0.4519,0.4588,0.4553,0.4706
076,0.4854,0.4678,0.3546,0.4034,0.4406
077,0.5764,0.549,0.5363,0.5425,0.5589
078,0.6367,0.541,0.5106,0.5254,0.5757
079,0.6013,0.5588,0.5471,0.5529,0.5761
080,0.4314,0.4687,0.4517,0.46,0.4452
081,0.6542,0.5115,0.4594,0.484,0.5564
082,0.555,0.4774,0.4766,0.477,0.513
083,0.647,0.5349,0.5313,0.5331,0.5846
084,0.556,0.4467,0.4527,0.4497,0.4972
085,0.1093,0.3268,0.2503,0.2835,0.1578
086,0.5232,0.4687,0.4851,0.4768,0.4989
087,0.4187,0.4443,0.4844,0.4635,0.4399
088,0.6562,0.5287,0.5308,0.5297,0.5862
089,0.5189,0.4901,0.4695,0.4796,0.4985
090,0.5033,0.4423,0.4265,0.4343,0.4662
091,0.5156,0.5123,0.5026,0.5074,0.5115
092,0.5733,0.4171,0.4377,0.4272,0.4896
093,0.6428,0.4641,0.4804,0.4721,0.5444
094,0.4891,0.4662,0.4572,0.4617,0.475
095,0.6719,0.4815,0.4711,0.4763,0.5574
096,0.5723,0.5624,0.5299,0.5457,0.5586
097,0.5551,0.497,0.4421,0.468,0.5078
098,0.5971,0.4661,0.5182,0.4908,0.5388
099,0.6244,0.5316,0.4693,0.4985,0.5544
100,0.5869,0.496,0.458,0.4762,0.5258
101,0.362,0.4551,0.4382,0.4465,0.3999
102,0.6076,0.559,0.5481,0.5535,0.5793
103,0.627,0.519,0.5035,0.5111,0.5632
104,0.6272,0.4615,0.4419,0.4515,0.5251
105,0.4791,0.4658,0.4559,0.4608,0.4698
106,0.6628,0.5013,0.517,0.509,0.5758
107,0.5962,0.5118,0.5238,0.5177,0.5542
108,0.6614,0.5117,0.5157,0.5137,0.5783
109,0.5605,0.5009,0.521,0.5108,0.5345
110,0.529,0.5286,0.5413,0.5349,0.5319
111,0.699,0.577,0.5832,0.5801,0.634
112,0.6049,0.5267,0.5277,0.5272,0.5634
113,0.6982,0.5321,0.54,0.536,0.6064
114,0.3928,0.4107,0.4123,0.4115,0.4019
115,0.4804,0.4522,0.439,0.4455,0.4623
116,0.5915,0.5355,0.5527,0.544,0.5667
117,0.5641,0.5134,0.5474,0.5298,0.5464
118,0.5573,0.4734,0.5031,0.4878,0.5202
119,0.6337,0.5077,0.5358,0.5213,0.5721
120,0.5238,0.5225,0.5484,0.5351,0.5294
121,0.4151,0.4904,0.4628,0.4762,0.4436
122,0.5051,0.5066,0.5157,0.5111,0.5081
123,0.7224,0.4776,0.449,0.4629,0.5642
124,0.416,0.5252,0.5041,0.5144,0.46
125,0.3103,0.4239,0.4407,0.4322,0.3613
127,0.5215,0.4747,0.4852,0.4799,0.4998
128,0.6011,0.5276,0.5528,0.5399,0.5689
129,0.7017,0.5415,0.5868,0.5632,0.6249
130,0.4523,0.489,0.4991,0.494,0.4722
131,0.3809,0.4957,0.4785,0.4869,0.4275
132,0.5759,0.5533,0.5847,0.5686,0.5722
133,0.4027,0.4497,0.4211,0.435,0.4182
134,0.5487,0.4935,0.4981,0.4958,0.5209
135,0.5133,0.4428,0.4609,0.4517,0.4805
136,0.6667,0.497,0.5158,0.5062,0.5755
137,0.439,0.4399,0.4511,0.4454,0.4422
138,0.6552,0.556,0.5396,0.5477,0.5966
139,0.6912,0.5557,0.5879,0.5714,0.6256
140,0.4205,0.4215,0.4054,0.4133,0.4168
