video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5576,0.5146,0.3937,0.4461,0.4957
002,0.6434,0.5081,0.4408,0.4721,0.5446
003,0.6345,0.4724,0.3981,0.4321,0.5141
004,0.5413,0.4606,0.4319,0.4458,0.4889
005,0.5464,0.4585,0.3663,0.4072,0.4667
006,0.6116,0.4485,0.4458,0.4472,0.5166
007,0.4556,0.3984,0.3427,0.3684,0.4074
008,0.5227,0.4306,0.363,0.3939,0.4493
009,0.4084,0.4354,0.3636,0.3962,0.4022
010,0.534,0.4926,0.398,0.4403,0.4826
011,0.5563,0.5411,0.4019,0.4612,0.5043
012,0.5714,0.4526,0.3472,0.3929,0.4657
013,0.4992,0.4333,0.3774,0.4034,0.4462
014,0.5064,0.4465,0.3624,0.4001,0.447
015,0.4657,0.4489,0.3729,0.4074,0.4346
016,0.5466,0.4676,0.4108,0.4374,0.4859
017,0.6754,0.3913,0.344,0.3661,0.4748
018,0.3904,0.4016,0.3213,0.357,0.3729
019,0.6028,0.5346,0.4241,0.473,0.5301
020,0.6081,0.5329,0.4632,0.4956,0.5461
021,0.5812,0.3694,0.3365,0.3522,0.4386
022,0.6513,0.596,0.4774,0.5301,0.5845
023,0.5728,0.4372,0.4302,0.4336,0.4936
024,0.6889,0.4942,0.4056,0.4455,0.5411
025,0.5363,0.4193,0.3844,0.4011,0.459
026,0.5735,0.4946,0.4182,0.4532,0.5063
027,0.515,0.4592,0.4274,0.4427,0.4761
028,0.5622,0.496,0.4319,0.4617,0.507
029,0.6001,0.4691,0.359,0.4067,0.4848
030,0.5965,0.4441,0.4108,0.4268,0.4976
031,0.7087,0.5076,0.4737,0.4901,0.5795
032,0.489,0.3466,0.3737,0.3596,0.4145
033,0.509,0.4053,0.372,0.3879,0.4403
034,0.6851,0.4697,0.4467,0.4579,0.5489
035,0.6694,0.541,0.48,0.5087,0.5781
036,0.4857,0.4197,0.3701,0.3934,0.4347
037,0.5009,0.5037,0.3854,0.4367,0.4666
038,0.484,0.4429,0.4234,0.433,0.4571
039,0.5527,0.4251,0.4881,0.4544,0.4988
040,0.4835,0.4863,0.4349,0.4592,0.471
041,0.4363,0.3792,0.4236,0.4002,0.4174
042,0.4762,0.4521,0.3415,0.3891,0.4283
043,0.4821,0.3973,0.2888,0.3344,0.3949
044,0.4824,0.4147,0.3216,0.3623,0.4138
045,0.4804,0.4852,0.4023,0.4399,0.4593
046,0.5505,0.5173,0.4561,0.4848,0.5156
047,0.4519,0.4416,0.3983,0.4189,0.4347
048,0.5595,0.4434,0.4285,0.4359,0.49
049,0.4364,0.5156,0.4456,0.4781,0.4563
050,0.5745,0.511,0.402,0.45,0.5047
051,0.5128,0.4266,0.3754,0.3994,0.449
052,0.4152,0.3933,0.3078,0.3453,0.3771
053,0.373,0.2788,0.2649,0.2717,0.3144
054,0.5986,0.4381,0.3456,0.3864,0.4696
055,0.4568,0.3496,0.3069,0.3269,0.3811
056,0.527,0.4073,0.3466,0.3745,0.4379
057,0.4979,0.3765,0.3866,0.3815,0.432
058,0.5834,0.4581,0.3915,0.4222,0.4899
059,0.5493,0.5204,0.3465,0.416,0.4735
060,0.4627,0.4064,0.408,0.4072,0.4332
061,0.4398,0.4129,0.3145,0.3571,0.3941
062,0.558,0.5184,0.3722,0.4333,0.4878
063,0.4621,0.4953,0.3978,0.4413,0.4514
064,0.6223,0.5342,0.4139,0.4665,0.5332
065,0.5525,0.474,0.3418,0.3972,0.4622
066,0.5424,0.4592,0.2925,0.3574,0.4309
067,0.5976,0.545,0.4717,0.5057,0.5479
068,0.7272,0.5396,0.4393,0.4843,0.5814
069,0.6503,0.549,0.4368,0.4865,0.5566
070,0.7064,0.5174,0.4248,0.4666,0.562
071,0.5235,0.4796,0.3778,0.4226,0.4677
072,0.6179,0.5327,0.4369,0.4801,0.5404
073,0.5448,0.4262,0.3762,0.3996,0.4611
074,0.5744,0.4374,0.3616,0.3959,0.4688
075,0.5537,0.3264,0.3001,0.3127,0.3997
076,0.6267,0.5122,0.4333,0.4695,0.5368
077,0.6634,0.5251,0.4165,0.4646,0.5465
078,0.5764,0.4757,0.388,0.4274,0.4908
079,0.5069,0.4213,0.4256,0.4234,0.4614
080,0.6782,0.4794,0.3876,0.4286,0.5253
081,0.4168,0.4035,0.2782,0.3293,0.3679
082,0.6294,0.501,0.4272,0.4612,0.5323
083,0.5159,0.4818,0.4446,0.4625,0.4877
084,0.5715,0.3955,0.4064,0.4009,0.4712
085,0.426,0.4206,0.3493,0.3816,0.4026
086,0.5839,0.4243,0.3489,0.3829,0.4625
087,0.5562,0.4051,0.4283,0.4164,0.4762
088,0.6324,0.5001,0.4566,0.4773,0.544
089,0.5997,0.4543,0.432,0.4429,0.5095
090,0.4748,0.4348,0.35,0.3878,0.4269
091,0.4346,0.3468,0.3602,0.3534,0.3898
092,0.5243,0.4613,0.4411,0.451,0.4849
093,0.6002,0.4786,0.4316,0.4538,0.5168
094,0.5215,0.3657,0.2986,0.3288,0.4033
095,0.5707,0.4791,0.4771,0.4781,0.5203
096,0.5333,0.5114,0.4061,0.4527,0.4897
097,0.5252,0.3621,0.3906,0.3758,0.4381
098,0.5304,0.4524,0.3845,0.4157,0.4661
099,0.6213,0.4721,0.3939,0.4295,0.5079
100,0.5495,0.343,0.2964,0.318,0.4029
101,0.4562,0.3347,0.2919,0.3119,0.3705
102,0.6009,0.4163,0.4699,0.4414,0.509
103,0.6778,0.5046,0.4587,0.4806,0.5624
104,0.7224,0.5235,0.4935,0.5081,0.5966
105,0.5014,0.3867,0.4243,0.4046,0.4478
106,0.6264,0.455,0.4229,0.4384,0.5158
107,0.6432,0.4668,0.5112,0.488,0.5549
108,0.6509,0.4233,0.4134,0.4182,0.5093
109,0.6506,0.4762,0.5263,0.5,0.5654
110,0.5997,0.5069,0.458,0.4812,0.534
111,0.7129,0.4962,0.482,0.489,0.5801
112,0.7482,0.4528,0.4567,0.4548,0.5657
113,0.6277,0.4681,0.4296,0.448,0.5229
114,0.4467,0.2414,0.2822,0.2602,0.3289
115,0.6649,0.4819,0.4844,0.4831,0.5596
116,0.6202,0.4044,0.4401,0.4215,0.5019
117,0.5797,0.4309,0.4416,0.4362,0.4978
118,0.519,0.431,0.4627,0.4462,0.4799
119,0.5436,0.427,0.4251,0.426,0.4777
120,0.6339,0.4606,0.4847,0.4724,0.5413
121,0.4625,0.3476,0.3462,0.3469,0.3964
122,0.5672,0.406,0.4033,0.4047,0.4723
123,0.683,0.4844,0.4732,0.4788,0.5629
124,0.5042,0.3841,0.356,0.3695,0.4264
125,0.3928,0.3625,0.2831,0.3179,0.3514
127,0.6419,0.3828,0.4136,0.3976,0.491
128,0.8416,0.5359,0.4812,0.5071,0.6329
129,0.6285,0.4033,0.455,0.4276,0.5089
130,0.458,0.3726,0.2934,0.3283,0.3825
131,0.5322,0.4716,0.3943,0.4295,0.4754
132,0.5806,0.4668,0.4044,0.4333,0.4963
133,0.6714,0.4726,0.4262,0.4482,0.5375
134,0.6598,0.4049,0.4291,0.4166,0.5107
135,0.5063,0.3369,0.312,0.324,0.3951
136,0.6168,0.4495,0.4453,0.4474,0.5186
137,0.4665,0.3678,0.3902,0.3787,0.418
138,0.6492,0.4381,0.3699,0.4011,0.4959
139,0.7138,0.4932,0.4833,0.4882,0.5798
140,0.5118,0.3586,0.3257,0.3413,0.4095
141,0.698,0.452,0.5274,0.4868,0.5736
142,0.5269,0.3254,0.3688,0.3457,0.4175
143,0.6572,0.4383,0.4162,0.427,0.5176
144,0.5785,0.3245,0.3642,0.3432,0.4308
145,0.6266,0.3778,0.4431,0.4078,0.4941
146,0.5564,0.3578,0.3809,0.369,0.4437
147,0.5802,0.3866,0.333,0.3578,0.4426
148,0.6635,0.4649,0.4747,0.4697,0.5501
149,0.6612,0.48,0.4845,0.4822,0.5577
150,0.5991,0.4936,0.3835,0.4316,0.5018
151,0.6533,0.5021,0.3926,0.4407,0.5263
152,0.6038,0.4485,0.4376,0.443,0.511
153,0.5195,0.3657,0.397,0.3807,0.4394
154,0.5612,0.318,0.3297,0.3237,0.4106
155,0.4972,0.426,0.3898,0.4071,0.4476
156,0.6261,0.4248,0.4251,0.4249,0.5063
157,0.585,0.4337,0.418,0.4257,0.4928
158,0.5607,0.4414,0.3896,0.4139,0.4762
159,0.6087,0.4448,0.371,0.4045,0.486
160,0.4981,0.3805,0.4629,0.4177,0.4544
161,0.5518,0.3572,0.2923,0.3215,0.4063
162,0.6285,0.4861,0.504,0.4949,0.5538
163,0.6799,0.4583,0.5834,0.5134,0.585
164,0.6348,0.3909,0.43,0.4096,0.4979
165,0.5509,0.473,0.4233,0.4468,0.4934
166,0.5143,0.385,0.382,0.3835,0.4394
167,0.5525,0.4371,0.4153,0.4259,0.481
168,0.5618,0.3321,0.333,0.3326,0.4178
169,0.5974,0.4144,0.4582,0.4352,0.5036
170,0.5436,0.4091,0.3977,0.4033,0.4631
171,0.8018,0.5144,0.551,0.5321,0.6397
172,0.5741,0.3672,0.3728,0.37,0.45
173,0.6064,0.3308,0.3365,0.3336,0.4304
174,0.7266,0.428,0.4378,0.4329,0.5425
175,0.5625,0.4001,0.3815,0.3905,0.461
176,0.6203,0.5065,0.5262,0.5162,0.5635
177,0.6452,0.3915,0.4323,0.4109,0.5021
178,0.6319,0.4923,0.5204,0.5059,0.5619
179,0.7448,0.426,0.5286,0.4718,0.5776
180,0.6869,0.4104,0.4586,0.4332,0.5313
181,0.7476,0.4541,0.4666,0.4603,0.5698
182,0.535,0.4462,0.3937,0.4183,0.4695
183,0.6309,0.4306,0.4491,0.4397,0.5182
184,0.4995,0.3456,0.39,0.3664,0.4227
185,0.5541,0.411,0.4435,0.4266,0.4821
186,0.6309,0.4077,0.4476,0.4267,0.5091
187,0.5892,0.3529,0.4964,0.4125,0.4853
188,0.5502,0.4491,0.451,0.4501,0.4951
189,0.6806,0.5383,0.5719,0.5546,0.6112
190,0.6783,0.5178,0.4677,0.4915,0.57
191,0.6001,0.4286,0.4068,0.4174,0.4924
192,0.691,0.5058,0.5623,0.5326,0.6015
193,0.5742,0.4261,0.5034,0.4615,0.5117
194,0.6705,0.3551,0.4339,0.3906,0.4936
195,0.6742,0.4764,0.531,0.5022,0.5756
196,0.7109,0.4864,0.5123,0.499,0.5864
197,0.7014,0.4449,0.501,0.4713,0.5638
198,0.6575,0.4892,0.5492,0.5175,0.5792
199,0.7642,0.4464,0.4663,0.4561,0.5713
200,0.7041,0.5321,0.577,0.5537,0.6199
