video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.2923,0.3748,0.3784,0.3766,0.3291
002,0.5267,0.5197,0.3606,0.4258,0.4709
003,0.4889,0.412,0.3381,0.3714,0.4221
004,0.5072,0.4312,0.3787,0.4032,0.4493
005,0.3348,0.384,0.2434,0.298,0.3153
006,0.537,0.4491,0.3243,0.3766,0.4427
007,0.5496,0.4035,0.3133,0.3527,0.4297
008,0.4697,0.4116,0.3302,0.3664,0.4117
009,0.358,0.4009,0.2672,0.3207,0.3383
010,0.588,0.4957,0.4316,0.4614,0.5171
011,0.4069,0.4313,0.3121,0.3621,0.3832
012,0.408,0.365,0.3035,0.3315,0.3657
013,0.3926,0.4702,0.2944,0.3621,0.3767
014,0.4516,0.4183,0.2797,0.3352,0.3848
015,0.4151,0.3956,0.2706,0.3214,0.3623
016,0.5096,0.4523,0.3259,0.3788,0.4346
017,0.5311,0.4098,0.295,0.3431,0.4169
018,0.3976,0.4034,0.3257,0.3604,0.3781
019,0.584,0.4518,0.3788,0.4121,0.4832
020,0.5578,0.5308,0.4278,0.4738,0.5124
021,0.5348,0.3793,0.3133,0.3432,0.4181
022,0.3774,0.3164,0.2779,0.2959,0.3317
023,0.6441,0.4919,0.4271,0.4572,0.5348
024,0.5937,0.4386,0.366,0.399,0.4773
025,0.5079,0.4304,0.3396,0.3797,0.4345
026,0.5093,0.4602,0.3703,0.4104,0.4545
027,0.4879,0.3666,0.3327,0.3488,0.4068
028,0.5213,0.3642,0.3319,0.3473,0.4168
029,0.4615,0.3364,0.3074,0.3212,0.3788
030,0.4395,0.4228,0.3329,0.3725,0.4032
031,0.4824,0.3871,0.3381,0.3609,0.4129
032,0.5044,0.3417,0.2823,0.3092,0.3834
033,0.3254,0.3569,0.3225,0.3388,0.332
034,0.5289,0.4077,0.382,0.3945,0.4519
035,0.5264,0.4142,0.3939,0.4038,0.457
036,0.3356,0.3185,0.2417,0.2748,0.3022
037,0.4041,0.5043,0.266,0.3483,0.3742
038,0.5433,0.421,0.3968,0.4085,0.4664
039,0.5329,0.4568,0.4475,0.4521,0.4892
040,0.4777,0.3921,0.378,0.3849,0.4263
041,0.4371,0.3701,0.2959,0.3289,0.3753
042,0.3485,0.3383,0.2884,0.3113,0.3289
043,0.4227,0.3681,0.2817,0.3192,0.3637
044,0.3879,0.35,0.2292,0.277,0.3232
045,0.4913,0.4953,0.4159,0.4521,0.4709
046,0.4706,0.4584,0.346,0.3943,0.4291
047,0.4288,0.416,0.3711,0.3923,0.4097
048,0.2351,0.0,0.0,0.0,0.0
049,0.3731,0.3393,0.3069,0.3223,0.3458
050,0.4718,0.4309,0.3413,0.3809,0.4215
051,0.514,0.4666,0.3965,0.4287,0.4675
052,0.4097,0.4397,0.2742,0.3378,0.3703
053,0.3492,0.3285,0.2793,0.3019,0.3238
054,0.482,0.4739,0.308,0.3734,0.4208
055,0.2646,0.3183,0.2475,0.2785,0.2713
056,0.4137,0.3229,0.2202,0.2619,0.3207
057,0.4626,0.3356,0.3233,0.3293,0.3848
058,0.4316,0.3168,0.2525,0.281,0.3404
059,0.2523,0.308,0.2169,0.2545,0.2534
060,0.505,0.3946,0.3841,0.3893,0.4397
061,0.3967,0.3678,0.274,0.314,0.3506
062,0.3844,0.3948,0.2689,0.3199,0.3492
063,0.4644,0.5027,0.416,0.4553,0.4598
064,0.4973,0.4963,0.3569,0.4152,0.4526
065,0.5367,0.4373,0.3203,0.3698,0.4379
066,0.4476,0.4337,0.2601,0.3252,0.3767
067,0.568,0.4244,0.391,0.407,0.4742
068,0.6375,0.568,0.4478,0.5008,0.561
069,0.566,0.47,0.346,0.3986,0.4678
070,0.8005,0.5356,0.5204,0.5279,0.6362
071,0.5693,0.4697,0.3477,0.3996,0.4696
072,0.5585,0.5166,0.4223,0.4647,0.5073
073,0.6216,0.3897,0.3894,0.3895,0.4789
074,0.5692,0.436,0.3553,0.3915,0.4639
075,0.4429,0.3254,0.2287,0.2686,0.3344
076,0.3173,0.4227,0.2677,0.3278,0.3225
077,0.5343,0.493,0.3338,0.3981,0.4562
078,0.5741,0.4917,0.3216,0.3888,0.4637
079,0.4537,0.4057,0.2777,0.3297,0.3819
080,0.3778,0.3604,0.2568,0.2999,0.3344
081,0.3078,0.278,0.2547,0.2659,0.2853
082,0.4263,0.3857,0.3404,0.3616,0.3913
083,0.5244,0.3791,0.4549,0.4136,0.4624
084,0.5234,0.366,0.3391,0.3521,0.421
085,0.3373,0.3296,0.2703,0.297,0.3159
086,0.5198,0.3572,0.2704,0.3078,0.3866
087,0.4774,0.3072,0.347,0.3259,0.3874
088,0.4546,0.365,0.2933,0.3253,0.3792
089,0.6473,0.497,0.4522,0.4735,0.5469
090,0.3377,0.293,0.2446,0.2666,0.298
091,0.3741,0.3589,0.265,0.3049,0.336
092,0.4821,0.3341,0.3642,0.3485,0.4046
093,0.4336,0.3813,0.2934,0.3316,0.3758
094,0.4182,0.3396,0.3035,0.3205,0.3629
095,0.5719,0.4577,0.4018,0.4279,0.4896
096,0.2613,0.3075,0.251,0.2764,0.2686
097,0.3036,0.3058,0.4013,0.3471,0.3239
098,0.4233,0.2852,0.2832,0.2842,0.3401
099,0.6683,0.4981,0.4798,0.4888,0.5646
100,0.5276,0.4145,0.3129,0.3566,0.4256
101,0.3573,0.2626,0.2126,0.2349,0.2835
102,0.6145,0.4161,0.3987,0.4072,0.4898
103,0.6132,0.433,0.3953,0.4133,0.4938
104,0.5916,0.3651,0.3556,0.3603,0.4479
105,0.5786,0.4513,0.3531,0.3962,0.4704
106,0.5356,0.3466,0.3531,0.3498,0.4232
107,0.4856,0.365,0.3529,0.3589,0.4127
108,0.3454,0.4082,0.3672,0.3866,0.3648
109,0.6642,0.4766,0.4415,0.4584,0.5424
110,0.6005,0.5185,0.3872,0.4433,0.5101
111,0.568,0.4234,0.4092,0.4162,0.4804
