video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.3963,0.4295,0.2624,0.3258,0.3576
002,0.518,0.3649,0.2815,0.3178,0.3939
003,0.4908,0.406,0.3174,0.3563,0.4128
004,0.4248,0.4088,0.3294,0.3648,0.3925
005,0.4403,0.3549,0.2813,0.3138,0.3665
006,0.5123,0.3674,0.3159,0.3397,0.4085
007,0.2941,0.2618,0.1701,0.2062,0.2424
008,0.2995,0.3415,0.2105,0.2605,0.2786
009,0.2404,0.3256,0.2579,0.2878,0.262
010,0.4162,0.4738,0.3193,0.3815,0.3981
011,0.5527,0.4534,0.3501,0.3951,0.4608
012,0.3805,0.3827,0.2511,0.3032,0.3375
013,0.2203,0.413,0.2586,0.318,0.2603
014,0.3711,0.3174,0.2237,0.2625,0.3075
015,0.445,0.428,0.3064,0.3571,0.3963
016,0.4152,0.3682,0.3265,0.3461,0.3775
017,0.5452,0.3081,0.2505,0.2763,0.3668
018,0.4521,0.3801,0.2884,0.328,0.3802
019,0.5286,0.4962,0.4638,0.4795,0.5028
020,0.4723,0.4458,0.3681,0.4033,0.4351
021,0.406,0.2986,0.2345,0.2627,0.319
022,0.5373,0.3643,0.3493,0.3567,0.4287
023,0.4399,0.3823,0.3269,0.3524,0.3913
024,0.5183,0.3504,0.313,0.3307,0.4037
025,0.4231,0.3276,0.2572,0.2882,0.3428
026,0.267,0.4566,0.396,0.4241,0.3277
027,0.4039,0.2755,0.305,0.2895,0.3373
028,0.2849,0.3251,0.4156,0.3649,0.3199
029,0.5265,0.3881,0.3272,0.3551,0.4241
030,0.3182,0.2827,0.2151,0.2443,0.2764
031,0.3106,0.3626,0.4026,0.3815,0.3425
032,0.4464,0.3564,0.311,0.3321,0.3809
033,0.321,0.2639,0.1839,0.2168,0.2588
034,0.627,0.403,0.3969,0.3999,0.4883
035,0.4363,0.4293,0.3525,0.3871,0.4102
036,0.3414,0.3009,0.2597,0.2788,0.3069
037,0.4475,0.4097,0.3023,0.3479,0.3915
038,0.3325,0.2635,0.2201,0.2398,0.2786
039,0.4826,0.3626,0.3006,0.3287,0.3911
040,0.4401,0.3758,0.2773,0.3191,0.37
041,0.4414,0.3985,0.3467,0.3708,0.403
042,0.2729,0.3083,0.3155,0.3118,0.2911
043,0.381,0.3237,0.2351,0.2724,0.3177
044,0.2781,0.2666,0.2068,0.2329,0.2535
045,0.3323,0.3858,0.1631,0.2293,0.2713
046,0.4662,0.4441,0.4125,0.4277,0.4461
047,0.3258,0.295,0.2771,0.2858,0.3045
048,0.4105,0.2951,0.2733,0.2838,0.3356
049,0.2005,0.2776,0.1753,0.2149,0.2075
050,0.4994,0.4825,0.3691,0.4183,0.4553
051,0.3623,0.3787,0.2865,0.3262,0.3433
052,0.3933,0.3799,0.2557,0.3057,0.344
053,0.2916,0.2858,0.3079,0.2964,0.294
054,0.5312,0.348,0.3258,0.3365,0.412
055,0.3061,0.2217,0.1884,0.2037,0.2446
056,0.3877,0.3444,0.2147,0.2645,0.3145
057,0.2751,0.2602,0.1875,0.2179,0.2432
058,0.5369,0.3256,0.2497,0.2826,0.3703
059,0.2755,0.36,0.2221,0.2747,0.2751
060,0.3916,0.3517,0.2855,0.3152,0.3493
061,0.3195,0.353,0.2073,0.2612,0.2874
062,0.3485,0.3513,0.2748,0.3084,0.3272
063,0.2846,0.3713,0.2466,0.2964,0.2904
064,0.4683,0.3625,0.2557,0.2999,0.3656
065,0.4589,0.4258,0.3042,0.3549,0.4002
