video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5251,0.5091,0.3836,0.4376,0.4774
002,0.6355,0.5128,0.3741,0.4326,0.5148
003,0.643,0.4427,0.375,0.4061,0.4978
004,0.6424,0.415,0.3736,0.3932,0.4878
005,0.6274,0.4766,0.3637,0.4126,0.4978
006,0.7225,0.5189,0.4335,0.4724,0.5712
007,0.622,0.4907,0.373,0.4239,0.5042
008,0.5153,0.4337,0.3483,0.3864,0.4416
009,0.4344,0.4547,0.3363,0.3867,0.4092
010,0.4755,0.5673,0.3749,0.4515,0.4632
011,0.6256,0.5073,0.3852,0.4379,0.5152
012,0.4165,0.4144,0.2827,0.3361,0.372
013,0.6535,0.5182,0.3751,0.4351,0.5224
014,0.6806,0.5395,0.387,0.4507,0.5423
015,0.6243,0.4813,0.3956,0.4343,0.5122
016,0.5692,0.4664,0.3537,0.4023,0.4714
017,0.7234,0.427,0.3477,0.3833,0.5011
018,0.5264,0.5232,0.3316,0.4059,0.4584
019,0.5461,0.5625,0.4177,0.4794,0.5106
020,0.6338,0.4983,0.4094,0.4495,0.526
021,0.6764,0.4622,0.3457,0.3955,0.4992
022,0.7067,0.535,0.4702,0.5005,0.586
023,0.6082,0.6239,0.4757,0.5398,0.572
024,0.6988,0.5111,0.4242,0.4636,0.5574
025,0.6195,0.4661,0.4073,0.4347,0.5109
026,0.5774,0.4859,0.4248,0.4533,0.5079
027,0.6499,0.5035,0.431,0.4644,0.5417
028,0.6716,0.5041,0.4242,0.4607,0.5465
029,0.6334,0.4921,0.4232,0.4551,0.5296
030,0.7019,0.5449,0.421,0.475,0.5665
031,0.7502,0.5457,0.4921,0.5175,0.6125
032,0.5888,0.4455,0.3895,0.4156,0.4873
033,0.5102,0.4348,0.3226,0.3704,0.4292
034,0.5985,0.3812,0.4443,0.4103,0.4869
035,0.602,0.6998,0.4923,0.5779,0.5897
036,0.5597,0.4525,0.3353,0.3852,0.4563
037,0.6265,0.5401,0.4494,0.4906,0.5503
038,0.7102,0.5859,0.5261,0.5544,0.6227
039,0.6001,0.4599,0.4615,0.4607,0.5213
040,0.6121,0.4981,0.4603,0.4784,0.5371
041,0.4696,0.4321,0.4036,0.4173,0.4419
042,0.5524,0.5499,0.3375,0.4183,0.4761
043,0.5009,0.499,0.3481,0.4101,0.451
044,0.5826,0.4914,0.4328,0.4602,0.5142
045,0.5373,0.5455,0.4159,0.472,0.5025
046,0.6586,0.6663,0.4774,0.5563,0.6031
047,0.5214,0.4804,0.4159,0.4458,0.4806
048,0.5635,0.4885,0.3988,0.4391,0.4936
049,0.5594,0.5459,0.4391,0.4867,0.5205
050,0.4669,0.5815,0.3839,0.4625,0.4646
