video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.581,0.554,0.4053,0.4681,0.5185
002,0.6382,0.4452,0.4163,0.4303,0.514
003,0.5779,0.4124,0.3682,0.389,0.465
004,0.5627,0.414,0.4051,0.4095,0.474
005,0.5746,0.4538,0.3591,0.4009,0.4723
006,0.6104,0.4468,0.4153,0.4305,0.5049
007,0.5139,0.457,0.3708,0.4094,0.4557
008,0.4982,0.4326,0.3342,0.3771,0.4293
009,0.4203,0.4251,0.3288,0.3708,0.394
010,0.5614,0.4775,0.402,0.4365,0.4911
011,0.6559,0.489,0.3852,0.4309,0.5201
012,0.47,0.4354,0.3258,0.3727,0.4158
013,0.4827,0.4403,0.3318,0.3784,0.4243
014,0.5795,0.3815,0.3208,0.3485,0.4353
015,0.6009,0.443,0.387,0.4131,0.4896
016,0.6231,0.4763,0.3732,0.4185,0.5007
017,0.7103,0.417,0.3812,0.3983,0.5104
018,0.5383,0.4075,0.3275,0.3632,0.4337
019,0.6508,0.5331,0.4127,0.4653,0.5426
020,0.5836,0.3578,0.3299,0.3433,0.4323
021,0.6722,0.4462,0.3616,0.3995,0.5011
022,0.6371,0.4809,0.4238,0.4506,0.5278
023,0.6184,0.4954,0.4016,0.4436,0.5166
024,0.7117,0.4434,0.4072,0.4245,0.5318
025,0.5482,0.4085,0.3301,0.3651,0.4383
026,0.567,0.3977,0.3306,0.3611,0.4412
027,0.6471,0.4521,0.4037,0.4265,0.5142
028,0.6173,0.4591,0.4004,0.4278,0.5053
029,0.606,0.4502,0.3769,0.4103,0.4893
030,0.6962,0.4436,0.4367,0.4401,0.5393
031,0.6934,0.5048,0.467,0.4851,0.5709
032,0.5527,0.3676,0.3742,0.3709,0.4439
033,0.5002,0.3569,0.3277,0.3417,0.406
034,0.6678,0.4097,0.4294,0.4193,0.5152
035,0.5976,0.4878,0.4705,0.479,0.5317
036,0.4857,0.3795,0.2989,0.3344,0.3961
037,0.5877,0.5039,0.3707,0.4271,0.4947
038,0.5483,0.4185,0.4007,0.4094,0.4688
039,0.5704,0.3837,0.4512,0.4147,0.4803
040,0.5281,0.4378,0.4281,0.4329,0.4758
041,0.4463,0.408,0.2751,0.3286,0.3785
042,0.5576,0.4801,0.3946,0.4332,0.4876
043,0.5472,0.3968,0.3075,0.3465,0.4243
044,0.4474,0.3456,0.3092,0.3264,0.3774
045,0.5906,0.449,0.3927,0.4189,0.4902
046,0.6271,0.4926,0.4315,0.46,0.5307
047,0.5058,0.372,0.363,0.3674,0.4256
048,0.6173,0.4238,0.425,0.4244,0.503
049,0.5096,0.4749,0.4176,0.4444,0.4748
050,0.5825,0.4674,0.3596,0.4065,0.4789
051,0.5526,0.3817,0.3562,0.3685,0.4421
052,0.4781,0.3877,0.3309,0.3571,0.4088
053,0.5089,0.3427,0.3531,0.3478,0.4132
054,0.6275,0.4272,0.3491,0.3842,0.4766
055,0.4828,0.3216,0.26,0.2875,0.3604
056,0.6173,0.4356,0.3248,0.3721,0.4643
057,0.4776,0.3585,0.3401,0.349,0.4033
058,0.6461,0.3939,0.3749,0.3842,0.4818
059,0.5341,0.4929,0.3595,0.4158,0.4676
060,0.582,0.423,0.4428,0.4327,0.4964
061,0.4974,0.4469,0.3164,0.3705,0.4246
062,0.6071,0.477,0.3904,0.4294,0.503
063,0.519,0.5029,0.4304,0.4638,0.4899
064,0.6293,0.4851,0.3762,0.4238,0.5065
065,0.5204,0.4042,0.3138,0.3533,0.4209
066,0.4914,0.3988,0.2429,0.3019,0.374
067,0.6909,0.4907,0.4353,0.4613,0.5532
