video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4392,0.596,0.562,0.5785,0.4993
002,0.5275,0.5789,0.5329,0.5549,0.5409
003,0.5429,0.5872,0.5722,0.5796,0.5606
004,0.498,0.5997,0.6011,0.6004,0.5444
005,0.5241,0.5629,0.5262,0.5439,0.5338
006,0.5799,0.56,0.5786,0.5691,0.5744
007,0.3784,0.5029,0.4533,0.4768,0.4219
008,0.3757,0.6082,0.5445,0.5746,0.4543
009,0.5559,0.5571,0.5986,0.5771,0.5663
010,0.5357,0.6808,0.6038,0.64,0.5832
011,0.5741,0.6484,0.6458,0.6471,0.6084
012,0.3893,0.6073,0.5351,0.5689,0.4622
013,0.4701,0.6403,0.5465,0.5897,0.5232
014,0.524,0.5719,0.5233,0.5465,0.535
015,0.4782,0.587,0.5753,0.5811,0.5246
016,0.4601,0.5493,0.5499,0.5496,0.5009
017,0.5795,0.6296,0.5929,0.6107,0.5947
018,0.4905,0.6125,0.5722,0.5916,0.5363
019,0.651,0.6769,0.6763,0.6766,0.6636
020,0.5918,0.592,0.592,0.592,0.5919
021,0.4356,0.5418,0.5368,0.5393,0.4819
022,0.5386,0.5533,0.5602,0.5567,0.5475
023,0.5455,0.6181,0.6165,0.6173,0.5792
024,0.5779,0.6102,0.6048,0.6074,0.5923
025,0.531,0.5779,0.6009,0.5892,0.5586
026,0.6609,0.6515,0.6592,0.6553,0.6581
027,0.5039,0.5452,0.5993,0.5709,0.5353
028,0.586,0.6249,0.6666,0.6451,0.6141
029,0.5634,0.6469,0.6112,0.6285,0.5942
030,0.4352,0.5106,0.4778,0.4937,0.4626
031,0.6195,0.631,0.6452,0.638,0.6286
032,0.6081,0.6274,0.6223,0.6248,0.6164
033,0.3364,0.4957,0.4787,0.487,0.398
034,0.6698,0.6203,0.6362,0.6282,0.6483
035,0.5868,0.6446,0.6076,0.6256,0.6055
036,0.4163,0.5362,0.5587,0.5472,0.4729
037,0.5446,0.6241,0.5785,0.6004,0.5711
038,0.3451,0.5128,0.4899,0.5011,0.4087
039,0.5533,0.6016,0.5874,0.5944,0.5732
040,0.4963,0.6087,0.558,0.5823,0.5359
041,0.5556,0.6363,0.6119,0.6238,0.5877
042,0.5278,0.5902,0.5988,0.5944,0.5591
043,0.5175,0.553,0.5335,0.543,0.53
044,0.3054,0.4502,0.4749,0.4622,0.3678
045,0.427,0.6061,0.4757,0.533,0.4741
046,0.4873,0.6218,0.6098,0.6157,0.544
047,0.4134,0.5282,0.5791,0.5525,0.473
048,0.4112,0.5338,0.5374,0.5356,0.4653
049,0.3194,0.4932,0.5331,0.5124,0.3935
050,0.6249,0.6889,0.6273,0.6566,0.6404
051,0.5904,0.6202,0.593,0.6063,0.5983
052,0.5765,0.6232,0.6091,0.6161,0.5956
053,0.548,0.5707,0.5861,0.5783,0.5628
054,0.573,0.5713,0.6278,0.5982,0.5854
055,0.3492,0.5388,0.5525,0.5456,0.4258
056,0.5826,0.5989,0.5664,0.5821,0.5824
057,0.4697,0.4836,0.4896,0.4866,0.478
058,0.4931,0.5461,0.5017,0.523,0.5076
059,0.2833,0.4917,0.4627,0.4767,0.3554
060,0.4084,0.5218,0.5007,0.511,0.454
061,0.4421,0.5666,0.5054,0.5342,0.4838
062,0.4575,0.6378,0.5814,0.6083,0.5222
063,0.3561,0.5665,0.5575,0.562,0.4359
064,0.4833,0.6048,0.5931,0.5989,0.535
065,0.522,0.6021,0.5538,0.5769,0.5481
066,0.4377,0.5257,0.4848,0.5044,0.4687
067,0.7024,0.6753,0.6414,0.6579,0.6794
068,0.6657,0.5951,0.5569,0.5754,0.6173
069,0.5191,0.609,0.5152,0.5582,0.5379
070,0.5599,0.5494,0.5725,0.5607,0.5603
071,0.6804,0.6614,0.6421,0.6516,0.6657
072,0.3936,0.56,0.5541,0.5571,0.4613
073,0.6141,0.6236,0.6394,0.6314,0.6226
074,0.6661,0.6618,0.6583,0.66,0.663
075,0.4303,0.4703,0.4788,0.4745,0.4513
076,0.5532,0.6373,0.6014,0.6189,0.5842
077,0.6389,0.6309,0.6222,0.6265,0.6327
078,0.6409,0.6724,0.5874,0.627,0.6339
079,0.4684,0.624,0.5668,0.594,0.5238
080,0.5779,0.6297,0.5355,0.5788,0.5783
081,0.5769,0.6307,0.6025,0.6163,0.596
082,0.5164,0.6469,0.6624,0.6546,0.5773
083,0.4929,0.6287,0.6193,0.624,0.5508
084,0.6196,0.5828,0.6211,0.6013,0.6103
085,0.3012,0.5184,0.4981,0.508,0.3782
086,0.425,0.5005,0.4793,0.4897,0.4551
087,0.4144,0.5744,0.5981,0.586,0.4855
088,0.4404,0.5448,0.5298,0.5372,0.484
089,0.654,0.5915,0.5393,0.5642,0.6058
090,0.4975,0.5592,0.5382,0.5485,0.5218
091,0.3139,0.4654,0.4484,0.4568,0.3721
092,0.6204,0.6635,0.6911,0.6771,0.6475
093,0.4335,0.5444,0.5566,0.5504,0.485
094,0.562,0.6293,0.6188,0.624,0.5914
095,0.5769,0.6589,0.6366,0.6476,0.6102
096,0.527,0.533,0.6153,0.5712,0.5482
097,0.4748,0.5338,0.5593,0.5462,0.508
098,0.5042,0.5928,0.5729,0.5827,0.5406
099,0.556,0.6444,0.6766,0.6601,0.6036
100,0.459,0.5474,0.5215,0.5341,0.4937
101,0.4258,0.531,0.5166,0.5237,0.4697
102,0.4268,0.5272,0.5212,0.5242,0.4705
103,0.6669,0.6634,0.6129,0.6371,0.6517
104,0.535,0.6221,0.5743,0.5972,0.5644
105,0.4588,0.5407,0.533,0.5368,0.4948
106,0.3026,0.4587,0.455,0.4568,0.364
107,0.5971,0.614,0.6125,0.6132,0.6051
108,0.4578,0.5909,0.5989,0.5948,0.5174
109,0.4431,0.5484,0.5855,0.5663,0.4972
110,0.5038,0.6004,0.6031,0.6018,0.5484
111,0.4775,0.5839,0.5845,0.5842,0.5255
112,0.5722,0.6158,0.6609,0.6376,0.6031
113,0.2411,0.4408,0.4221,0.4312,0.3093
114,0.3643,0.4308,0.4657,0.4476,0.4017
115,0.4198,0.5049,0.5258,0.5151,0.4626
116,0.3641,0.501,0.5039,0.5025,0.4222
117,0.4006,0.4815,0.5348,0.5067,0.4475
118,0.356,0.5013,0.502,0.5016,0.4165
119,0.4348,0.5438,0.5768,0.5598,0.4895
120,0.4139,0.5283,0.5617,0.5445,0.4703
121,0.2514,0.5193,0.4587,0.4871,0.3316
122,0.5876,0.5618,0.6019,0.5812,0.5844
123,0.3934,0.4868,0.4849,0.4858,0.4348
124,0.4497,0.6269,0.5928,0.6094,0.5175
125,0.3763,0.54,0.4901,0.5139,0.4344
127,0.5043,0.5675,0.5635,0.5655,0.5331
128,0.5832,0.5957,0.6075,0.6015,0.5922
129,0.5048,0.5458,0.6238,0.5822,0.5407
130,0.4872,0.6088,0.6068,0.6078,0.5408
131,0.3328,0.5278,0.4837,0.5048,0.4011
132,0.355,0.5287,0.4631,0.4937,0.413
133,0.6699,0.5233,0.5632,0.5425,0.5995
134,0.5058,0.5703,0.5784,0.5743,0.5379
135,0.4421,0.5455,0.6059,0.5741,0.4996
136,0.4869,0.5856,0.5447,0.5645,0.5228
137,0.4708,0.5808,0.5862,0.5834,0.5211
138,0.403,0.5492,0.5045,0.5259,0.4563
139,0.4926,0.5835,0.6251,0.6036,0.5425
140,0.4678,0.5518,0.5929,0.5716,0.5145
141,0.5919,0.5728,0.6989,0.6296,0.6102
142,0.4133,0.5535,0.5584,0.5559,0.4741
143,0.4318,0.4985,0.5805,0.5364,0.4785
144,0.3346,0.4945,0.5196,0.5067,0.403
145,0.4343,0.5364,0.5601,0.548,0.4846
146,0.4909,0.5653,0.6199,0.5913,0.5364
147,0.4492,0.4903,0.4771,0.4836,0.4658
148,0.359,0.445,0.4321,0.4384,0.3948
149,0.5857,0.6591,0.6279,0.6431,0.6131
150,0.5363,0.5526,0.6211,0.5849,0.5595
151,0.3895,0.5188,0.5696,0.543,0.4536
152,0.4836,0.6286,0.5762,0.6012,0.5361
153,0.5724,0.5414,0.6516,0.5914,0.5817
154,0.5921,0.6282,0.632,0.6301,0.6105
155,0.5251,0.6178,0.6025,0.61,0.5644
156,0.4095,0.5726,0.5809,0.5767,0.4789
157,0.4912,0.5757,0.6138,0.5942,0.5378
158,0.3867,0.4589,0.4477,0.4532,0.4173
159,0.4489,0.5659,0.6016,0.5832,0.5073
160,0.3568,0.5054,0.5196,0.5124,0.4206
161,0.5511,0.6137,0.6169,0.6153,0.5814
162,0.4129,0.5136,0.4945,0.5039,0.4538
163,0.5131,0.5452,0.6148,0.5779,0.5436
164,0.5344,0.6288,0.639,0.6339,0.5799
165,0.4749,0.5217,0.5292,0.5254,0.4989
166,0.3782,0.5104,0.4647,0.4865,0.4256
167,0.6891,0.6513,0.6584,0.6548,0.6715
168,0.3558,0.4894,0.5241,0.5062,0.4178
169,0.5478,0.6015,0.5895,0.5955,0.5706
170,0.4425,0.5419,0.5157,0.5285,0.4817
171,0.4313,0.5602,0.6154,0.5865,0.4971
172,0.549,0.6231,0.5684,0.5945,0.5709
173,0.4899,0.5397,0.5524,0.546,0.5164
174,0.3706,0.5552,0.5962,0.5749,0.4507
175,0.3538,0.5001,0.5144,0.5071,0.4169
176,0.6755,0.6604,0.6464,0.6533,0.6642
177,0.5468,0.5747,0.6441,0.6074,0.5755
178,0.3256,0.5179,0.4981,0.5078,0.3968
179,0.7513,0.6561,0.714,0.6838,0.716
180,0.5252,0.4959,0.4855,0.4906,0.5073
181,0.2928,0.5088,0.4861,0.4972,0.3686
182,0.5281,0.6493,0.6525,0.6509,0.5831
183,0.2444,0.4523,0.4894,0.4701,0.3216
184,0.5991,0.6446,0.6253,0.6348,0.6164
185,0.4571,0.554,0.5791,0.5663,0.5059
186,0.3483,0.5215,0.5092,0.5153,0.4157
187,0.5813,0.5768,0.6345,0.6043,0.5926
188,0.4572,0.5299,0.5503,0.5399,0.4951
189,0.5625,0.6037,0.6072,0.6054,0.5832
190,0.5044,0.5553,0.5586,0.5569,0.5294
191,0.5337,0.6244,0.6462,0.6351,0.58
192,0.5268,0.6123,0.6159,0.6141,0.5671
193,0.4502,0.5386,0.6464,0.5876,0.5098
194,0.6135,0.6162,0.6126,0.6144,0.614
195,0.601,0.6193,0.669,0.6432,0.6214
196,0.7599,0.6404,0.6771,0.6583,0.7054
197,0.5071,0.5215,0.5613,0.5407,0.5234
198,0.5599,0.4973,0.651,0.5639,0.5619
199,0.5355,0.6798,0.6295,0.6537,0.5887
200,0.4588,0.503,0.5305,0.5163,0.4859
