video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4751,0.6297,0.5409,0.5819,0.5231
002,0.5627,0.6705,0.6126,0.6403,0.599
003,0.6293,0.6744,0.6284,0.6506,0.6398
004,0.4502,0.57,0.601,0.5851,0.5088
005,0.5179,0.618,0.5978,0.6077,0.5592
006,0.6,0.5948,0.6039,0.5993,0.5996
007,0.457,0.5922,0.5618,0.5766,0.5099
008,0.4907,0.614,0.5963,0.605,0.5419
009,0.4847,0.6001,0.5176,0.5558,0.5178
010,0.6261,0.6791,0.6239,0.6504,0.638
011,0.3992,0.5633,0.5367,0.5497,0.4625
012,0.4686,0.6249,0.5939,0.609,0.5297
013,0.4534,0.6317,0.5461,0.5858,0.5112
014,0.5973,0.6697,0.6181,0.6429,0.6193
015,0.6017,0.5845,0.5477,0.5655,0.583
016,0.5946,0.6583,0.5804,0.6169,0.6056
017,0.5577,0.647,0.5907,0.6176,0.5861
018,0.4803,0.6007,0.533,0.5648,0.5191
019,0.6119,0.7026,0.6975,0.7001,0.653
020,0.6713,0.6788,0.6352,0.6563,0.6637
021,0.3187,0.5934,0.5598,0.5761,0.4104
022,0.609,0.6709,0.6436,0.657,0.6321
023,0.6534,0.7,0.6773,0.6884,0.6705
024,0.5439,0.6333,0.5311,0.5777,0.5603
025,0.5238,0.5929,0.5819,0.5874,0.5537
026,0.523,0.6759,0.6463,0.6608,0.5839
027,0.6129,0.6691,0.6662,0.6677,0.6391
028,0.6103,0.6328,0.6146,0.6236,0.6169
029,0.6985,0.7299,0.6665,0.6967,0.6976
030,0.5954,0.6161,0.5998,0.6078,0.6015
031,0.5926,0.611,0.6198,0.6154,0.6038
032,0.542,0.603,0.5924,0.5977,0.5685
033,0.6264,0.6748,0.6125,0.6421,0.6341
034,0.7134,0.7403,0.723,0.7316,0.7223
035,0.498,0.6381,0.6678,0.6526,0.5649
036,0.4154,0.6174,0.5621,0.5885,0.487
037,0.5666,0.6775,0.6176,0.6461,0.6038
038,0.4761,0.682,0.6488,0.665,0.5549
039,0.4581,0.5511,0.5611,0.5561,0.5023
040,0.5788,0.7167,0.6247,0.6675,0.62
041,0.5031,0.5855,0.5682,0.5767,0.5374
042,0.4045,0.5629,0.5336,0.5478,0.4654
043,0.339,0.5547,0.4552,0.5,0.4041
044,0.5698,0.631,0.5964,0.6132,0.5907
045,0.4777,0.6049,0.5275,0.5636,0.5171
046,0.5252,0.6571,0.6572,0.6571,0.5838
047,0.3831,0.5118,0.4762,0.4933,0.4313
048,0.4774,0.5971,0.5654,0.5808,0.524
049,0.4521,0.6233,0.6056,0.6143,0.5209
050,0.5818,0.6904,0.6239,0.6555,0.6165
051,0.6009,0.5993,0.6247,0.6117,0.6063
052,0.3839,0.5073,0.4679,0.4868,0.4293
053,0.4303,0.6182,0.5539,0.5843,0.4956
054,0.6467,0.6953,0.6915,0.6934,0.6692
055,0.4491,0.6032,0.5897,0.5964,0.5123
056,0.369,0.4829,0.4702,0.4764,0.4159
057,0.3636,0.5445,0.5571,0.5507,0.438
058,0.4897,0.5842,0.5608,0.5723,0.5278
059,0.4685,0.6827,0.6257,0.653,0.5456
060,0.4995,0.5965,0.5688,0.5823,0.5378
061,0.4604,0.5822,0.5518,0.5666,0.508
062,0.494,0.6815,0.5878,0.6312,0.5543
063,0.6172,0.6948,0.6741,0.6843,0.649
064,0.5374,0.5863,0.6264,0.6057,0.5695
065,0.3899,0.5793,0.5198,0.5479,0.4556
066,0.4667,0.5895,0.5504,0.5693,0.5129
067,0.5341,0.6525,0.6048,0.6278,0.5772
068,0.6792,0.7627,0.6409,0.6965,0.6877
069,0.5408,0.631,0.5924,0.6111,0.5738
070,0.7612,0.7309,0.6612,0.6943,0.7262
071,0.5403,0.6732,0.594,0.6312,0.5822
072,0.5907,0.7068,0.6675,0.6866,0.635
073,0.6408,0.6685,0.6192,0.6429,0.6419
074,0.3375,0.5143,0.4763,0.4945,0.4012
075,0.5109,0.6327,0.5754,0.6027,0.553
076,0.5593,0.6366,0.5363,0.5821,0.5705
077,0.5402,0.6571,0.6088,0.632,0.5825
078,0.438,0.5276,0.5332,0.5304,0.4798
079,0.4809,0.6275,0.5711,0.598,0.5331
080,0.6782,0.6561,0.6425,0.6492,0.6634
081,0.659,0.7154,0.607,0.6568,0.6579
082,0.5391,0.6476,0.6191,0.6331,0.5823
083,0.6258,0.6686,0.669,0.6688,0.6466
084,0.5715,0.6566,0.6043,0.6293,0.599
085,0.5697,0.6792,0.6428,0.6605,0.6118
086,0.5271,0.6013,0.5618,0.5809,0.5527
087,0.5083,0.6086,0.5825,0.5953,0.5483
088,0.6868,0.6905,0.6676,0.6789,0.6828
089,0.457,0.5671,0.5248,0.5452,0.4972
090,0.5594,0.5593,0.5558,0.5575,0.5584
091,0.5304,0.7183,0.6516,0.6834,0.5973
092,0.5967,0.7237,0.6344,0.6761,0.6339
093,0.5831,0.6468,0.5881,0.6161,0.5991
094,0.6165,0.6375,0.5821,0.6085,0.6125
095,0.6004,0.6623,0.5647,0.6097,0.605
096,0.5524,0.5806,0.551,0.5654,0.5588
097,0.5769,0.6822,0.6135,0.646,0.6095
098,0.5086,0.6449,0.6401,0.6425,0.5678
099,0.7283,0.6805,0.6642,0.6722,0.6991
100,0.696,0.6852,0.6019,0.6409,0.6673
101,0.498,0.5881,0.5867,0.5874,0.539
102,0.5945,0.6114,0.5731,0.5916,0.5931
103,0.5922,0.644,0.638,0.641,0.6156
104,0.7307,0.6603,0.6356,0.6477,0.6867
105,0.5603,0.5695,0.5654,0.5675,0.5639
106,0.5945,0.67,0.634,0.6515,0.6217
107,0.6941,0.6618,0.6281,0.6445,0.6684
108,0.5696,0.5933,0.6362,0.614,0.591
109,0.5926,0.6016,0.5862,0.5938,0.5932
110,0.6618,0.6839,0.5984,0.6383,0.6498
111,0.6582,0.663,0.6494,0.6561,0.6571
112,0.7608,0.6611,0.7246,0.6914,0.7244
113,0.6152,0.6715,0.6576,0.6645,0.6389
