Model Name,nv-embed_coarse,nv-embed_fine_f1,nv-embed_hm_cf
Qwen2.5-32B,0.5789,0.4243,0.4881
Qwen2.5-72B,0.5875,0.4339,0.4974
internvl,0.5695,0.3763,0.4515
llava_next_video,0.4988,0.3653,0.4193
llava_one_vision,0.6438,0.4436,0.5239
longva,0.3991,0.3112,0.3457
longvu,0.6128,0.4422,0.5102
minicpm,0.5959,0.4022,0.4790
mplug,0.6294,0.4633,0.5291
oryx,0.4819,0.3416,0.3977
sharegpt4,0.5511,0.4012,0.4611
timechat,0.5265,0.3460,0.4158
ts_llava,0.4662,0.3527,0.3998
video_xl,0.5537,0.4045,0.4660
videochatflash,0.5396,0.3999,0.4549
videollama3,0.6812,0.4653,0.5489
vilamp,0.6018,0.4397,0.5001
