video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.6493,0.4645,0.417,0.4394,0.5241
002,0.6934,0.4015,0.3803,0.3906,0.4997
003,0.625,0.4269,0.3631,0.3924,0.4821
004,0.6159,0.4481,0.386,0.4147,0.4957
005,0.7322,0.3725,0.3647,0.3686,0.4903
006,0.5935,0.3622,0.3401,0.3508,0.441
007,0.5223,0.3925,0.2914,0.3345,0.4078
008,0.5553,0.4036,0.3452,0.3721,0.4456
009,0.5451,0.4084,0.3371,0.3694,0.4404
010,0.5585,0.475,0.4123,0.4414,0.4931
011,0.5236,0.3658,0.3641,0.365,0.4301
012,0.6193,0.3008,0.3396,0.319,0.4211
013,0.5419,0.3905,0.3474,0.3677,0.4381
014,0.4721,0.3854,0.3242,0.3522,0.4034
015,0.5992,0.3686,0.354,0.3611,0.4507
016,0.6182,0.4679,0.41,0.437,0.5121
017,0.6716,0.359,0.2987,0.3261,0.439
018,0.5594,0.471,0.3506,0.402,0.4678
019,0.7356,0.4409,0.4068,0.4232,0.5372
020,0.5813,0.5268,0.4246,0.4702,0.5199
021,0.499,0.2855,0.2306,0.2551,0.3376
022,0.6989,0.5048,0.4722,0.488,0.5747
023,0.5733,0.4283,0.4407,0.4344,0.4943
024,0.6378,0.4356,0.4147,0.4249,0.51
025,0.5281,0.4588,0.3849,0.4186,0.467
026,0.5793,0.4011,0.408,0.4045,0.4764
027,0.4904,0.3993,0.3449,0.3701,0.4219
028,0.6481,0.415,0.374,0.3934,0.4896
029,0.5517,0.3912,0.406,0.3985,0.4627
030,0.542,0.4722,0.3868,0.4252,0.4766
031,0.608,0.3926,0.3523,0.3713,0.4611
032,0.5016,0.3613,0.3152,0.3367,0.4029
033,0.4513,0.3247,0.2826,0.3022,0.362
034,0.6359,0.422,0.4328,0.4273,0.5112
035,0.6391,0.4313,0.4486,0.4398,0.521
036,0.534,0.3817,0.3386,0.3589,0.4293
037,0.5662,0.4108,0.368,0.3882,0.4606
038,0.592,0.4117,0.4182,0.415,0.4879
039,0.5223,0.4057,0.4116,0.4086,0.4585
040,0.6281,0.4578,0.4211,0.4387,0.5166
041,0.4456,0.3645,0.3325,0.3477,0.3906
042,0.4418,0.312,0.2656,0.287,0.3479
043,0.4883,0.3737,0.3349,0.3532,0.4099
044,0.53,0.4147,0.3323,0.369,0.4351
045,0.4951,0.4143,0.3302,0.3675,0.4219
046,0.553,0.5026,0.3959,0.4429,0.4919
047,0.5021,0.3534,0.3724,0.3627,0.4211
048,0.5487,0.3695,0.4295,0.3973,0.4609
049,0.4198,0.3698,0.3816,0.3756,0.3965
050,0.5965,0.3958,0.3577,0.3758,0.4611
051,0.4809,0.4196,0.3206,0.3634,0.414
052,0.3918,0.3965,0.3898,0.3931,0.3924
053,0.2701,0.2364,0.1182,0.1576,0.1991
054,0.5961,0.3599,0.3862,0.3726,0.4586
055,0.6208,0.3305,0.3551,0.3424,0.4413
056,0.4813,0.3465,0.3004,0.3218,0.3857
057,0.5523,0.3242,0.3164,0.3202,0.4054
058,0.6951,0.4114,0.4042,0.4078,0.514
059,0.587,0.3895,0.3618,0.3752,0.4578
060,0.5264,0.2964,0.3555,0.3233,0.4005
061,0.4159,0.4094,0.3612,0.3838,0.3992
062,0.6114,0.4052,0.3675,0.3854,0.4728
