video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4039,0.4403,0.3841,0.4103,0.4071
002,0.6746,0.5461,0.4717,0.5062,0.5784
003,0.7271,0.5137,0.4242,0.4647,0.567
004,0.5048,0.5719,0.4305,0.4912,0.4979
005,0.3541,0.3608,0.3419,0.3511,0.3526
006,0.7441,0.5113,0.4483,0.4777,0.5819
007,0.659,0.5024,0.3904,0.4394,0.5272
008,0.6631,0.4369,0.3602,0.3948,0.4949
009,0.5585,0.4911,0.3971,0.4391,0.4917
010,0.6103,0.5847,0.4457,0.5058,0.5532
011,0.4951,0.5807,0.4206,0.4878,0.4914
012,0.6414,0.4537,0.3421,0.3901,0.4851
013,0.498,0.533,0.4252,0.473,0.4852
014,0.4642,0.7188,0.4261,0.5351,0.4971
015,0.6981,0.5844,0.4566,0.5126,0.5912
016,0.6135,0.4214,0.3467,0.3805,0.4697
017,0.83,0.5033,0.4266,0.4618,0.5934
018,0.7434,0.5314,0.3979,0.4551,0.5646
019,0.7723,0.6045,0.4759,0.5326,0.6304
020,0.5632,0.5845,0.4087,0.481,0.5189
021,0.7668,0.4816,0.4208,0.4492,0.5665
022,0.7763,0.5275,0.5042,0.5156,0.6196
023,0.4734,0.5631,0.4464,0.498,0.4854
024,0.8145,0.4972,0.4888,0.493,0.6142
025,0.6521,0.4564,0.3846,0.4174,0.509
026,0.7721,0.5328,0.4342,0.4785,0.5908
027,0.3092,0.4226,0.3477,0.3815,0.3416
028,0.5104,0.532,0.4825,0.506,0.5082
029,0.6402,0.5232,0.4382,0.4769,0.5467
030,0.6661,0.4551,0.4232,0.4386,0.5289
031,0.7165,0.5215,0.4849,0.5025,0.5908
032,0.5059,0.4264,0.4064,0.4162,0.4567
033,0.661,0.4576,0.4198,0.4379,0.5268
034,0.6879,0.4624,0.4884,0.4751,0.562
035,0.758,0.5892,0.4639,0.5191,0.6162
036,0.5508,0.3837,0.3341,0.3572,0.4334
037,0.781,0.5629,0.4978,0.5284,0.6303
038,0.5116,0.5485,0.4838,0.5141,0.5129
039,0.7549,0.5198,0.5215,0.5207,0.6163
040,0.4867,0.5536,0.3902,0.4578,0.4718
041,0.59,0.5025,0.4283,0.4624,0.5185
042,0.5707,0.5481,0.3979,0.461,0.51
043,0.4143,0.4965,0.3432,0.4058,0.41
044,0.5434,0.5175,0.4117,0.4586,0.4974
045,0.6729,0.5008,0.4328,0.4643,0.5495
046,0.7429,0.5785,0.5017,0.5373,0.6236
047,0.6914,0.5263,0.4221,0.4685,0.5585
048,0.6696,0.4993,0.4326,0.4635,0.5478
049,0.6133,0.5817,0.5561,0.5686,0.5901
050,0.686,0.5704,0.4053,0.4739,0.5605
051,0.6422,0.5045,0.3934,0.4421,0.5237
052,0.5536,0.5504,0.4545,0.4979,0.5243
053,0.4853,0.4635,0.4122,0.4364,0.4595
054,0.6669,0.4928,0.5221,0.507,0.5761
055,0.497,0.3211,0.2999,0.3102,0.382
056,0.5584,0.4011,0.361,0.38,0.4522
057,0.4959,0.5852,0.4796,0.5271,0.511
058,0.406,0.3746,0.3822,0.3783,0.3917
059,0.4351,0.4598,0.3807,0.4166,0.4256
060,0.7251,0.5698,0.5287,0.5485,0.6246
061,0.7018,0.4437,0.4168,0.4298,0.5331
062,0.3086,0.4448,0.4011,0.4218,0.3564
063,0.4875,0.5092,0.4267,0.4643,0.4756
