video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4372,0.4803,0.323,0.3863,0.4101
002,0.5187,0.5616,0.3582,0.4374,0.4746
003,0.3986,0.3511,0.2418,0.2864,0.3333
004,0.4771,0.3454,0.3046,0.3237,0.3857
005,0.2978,0.3637,0.1512,0.2136,0.2488
006,0.3647,0.3945,0.2222,0.2843,0.3195
007,0.3536,0.331,0.2961,0.3126,0.3318
008,0.5111,0.4083,0.2828,0.3342,0.4041
009,0.3361,0.3735,0.245,0.2959,0.3147
010,0.4254,0.4679,0.3211,0.3808,0.4019
011,0.4711,0.3828,0.3284,0.3535,0.4039
012,0.2804,0.343,0.1885,0.2433,0.2606
013,0.4686,0.6013,0.2976,0.3981,0.4305
014,0.3563,0.4231,0.2364,0.3033,0.3277
015,0.2775,0.2558,0.2,0.2245,0.2482
016,0.4901,0.4582,0.3201,0.3769,0.4261
017,0.5392,0.3362,0.2102,0.2587,0.3496
018,0.3773,0.5418,0.262,0.3532,0.3648
019,0.4776,0.5898,0.3083,0.4049,0.4383
020,0.6153,0.5708,0.426,0.4879,0.5442
021,0.4645,0.364,0.2791,0.3159,0.3761
022,0.6042,0.539,0.4077,0.4642,0.525
023,0.5009,0.4059,0.3475,0.3744,0.4285
024,0.4601,0.5357,0.2681,0.3574,0.4023
025,0.432,0.4786,0.2809,0.354,0.3891
026,0.5122,0.4491,0.3613,0.4005,0.4495
027,0.3715,0.4434,0.2836,0.3459,0.3582
028,0.3577,0.5246,0.196,0.2853,0.3174
029,0.5057,0.3785,0.3014,0.3356,0.4034
030,0.4683,0.4969,0.3133,0.3843,0.4221
031,0.4013,0.3261,0.2874,0.3055,0.3469
032,0.5517,0.4905,0.3645,0.4182,0.4758
033,0.3715,0.4263,0.2432,0.3098,0.3378
034,0.6651,0.4799,0.4562,0.4677,0.5492
035,0.4442,0.3463,0.2456,0.2874,0.349
036,0.2834,0.311,0.1998,0.2433,0.2618
037,0.4372,0.45,0.2192,0.2948,0.3522
038,0.4796,0.3994,0.2763,0.3266,0.3886
039,0.4872,0.3531,0.3718,0.3622,0.4155
040,0.4332,0.4013,0.3446,0.3708,0.3996
041,0.3587,0.3645,0.1895,0.2493,0.2942
042,0.3529,0.3527,0.1761,0.2349,0.2821
043,0.3767,0.4291,0.1871,0.2606,0.3081
044,0.3552,0.3476,0.2616,0.2985,0.3244
045,0.3309,0.4493,0.2597,0.3292,0.33
046,0.5274,0.6159,0.3369,0.4356,0.4771
047,0.3408,0.4269,0.2658,0.3276,0.3341
048,0.5002,0.3664,0.3352,0.3501,0.4119
049,0.3341,0.4054,0.2866,0.3358,0.3349
050,0.4027,0.5271,0.313,0.3928,0.3977
051,0.3832,0.4567,0.2411,0.3156,0.3461
052,0.3164,0.4002,0.1827,0.2508,0.2798
053,0.3471,0.3151,0.234,0.2686,0.3028
054,0.283,0.2687,0.1713,0.2092,0.2406
055,0.4779,0.3771,0.2367,0.2908,0.3616
056,0.4686,0.3501,0.2911,0.3179,0.3788
057,0.4214,0.4306,0.3142,0.3633,0.3902
058,0.5724,0.3729,0.2836,0.3222,0.4123
059,0.391,0.5285,0.3209,0.3993,0.3951
060,0.5728,0.36,0.3388,0.349,0.4338
061,0.3602,0.4201,0.3337,0.3719,0.366
062,0.4383,0.4816,0.266,0.3427,0.3847
063,0.4417,0.5186,0.3451,0.4144,0.4276
064,0.4422,0.5559,0.2265,0.3219,0.3726
065,0.2753,0.3211,0.1888,0.2378,0.2552
066,0.4522,0.4345,0.2313,0.3019,0.362
067,0.4813,0.4522,0.3026,0.3626,0.4136
068,0.5712,0.396,0.3804,0.3881,0.4621
069,0.3452,0.3601,0.1854,0.2448,0.2865
070,0.7402,0.6314,0.5051,0.5612,0.6384
071,0.6065,0.4692,0.353,0.4029,0.4842
072,0.4416,0.4788,0.2672,0.343,0.3861
073,0.5961,0.4406,0.2969,0.3547,0.4448
074,0.3893,0.3574,0.2355,0.2839,0.3283
075,0.4538,0.4415,0.224,0.2972,0.3592
076,0.3747,0.4612,0.1752,0.254,0.3027
077,0.5783,0.4794,0.3478,0.4031,0.4751
078,0.3716,0.4529,0.2812,0.347,0.3589
079,0.494,0.4076,0.2683,0.3236,0.3911
080,0.4689,0.4745,0.2771,0.3499,0.4007
081,0.2861,0.4245,0.1896,0.2621,0.2736
082,0.5138,0.5164,0.2797,0.3629,0.4254
083,0.3104,0.3308,0.2615,0.2921,0.301
084,0.3316,0.2164,0.2085,0.2124,0.2589
085,0.4479,0.3839,0.2836,0.3262,0.3775
086,0.3346,0.3504,0.1856,0.2427,0.2813
087,0.4425,0.3236,0.3021,0.3125,0.3663
088,0.3406,0.2952,0.2443,0.2674,0.2996
089,0.2932,0.5332,0.2241,0.3156,0.304
090,0.3376,0.3052,0.2165,0.2533,0.2895
091,0.3814,0.3269,0.1785,0.2309,0.2876
092,0.4878,0.3626,0.3751,0.3687,0.42
093,0.346,0.339,0.2499,0.2877,0.3142
094,0.4004,0.4229,0.2481,0.3127,0.3511
095,0.5035,0.4517,0.3552,0.3977,0.4444
096,0.3104,0.3301,0.2268,0.2688,0.2881
097,0.5689,0.4687,0.3878,0.4244,0.4862
098,0.4593,0.3279,0.2673,0.2945,0.3589
099,0.559,0.5138,0.3345,0.4052,0.4699
100,0.5799,0.548,0.2629,0.3553,0.4407
101,0.5309,0.3667,0.2758,0.3148,0.3952
102,0.587,0.4913,0.3801,0.4286,0.4955
103,0.6634,0.5161,0.3898,0.4442,0.5321
104,0.5768,0.4166,0.3082,0.3543,0.4389
105,0.466,0.4308,0.2808,0.34,0.3932
106,0.5817,0.5236,0.4585,0.4889,0.5313
107,0.4774,0.3993,0.2542,0.3106,0.3764
108,0.5753,0.4555,0.347,0.3939,0.4676
109,0.5567,0.4714,0.3076,0.3723,0.4462
110,0.4993,0.5187,0.2755,0.3598,0.4183
111,0.5437,0.4102,0.3126,0.3548,0.4294
112,0.5567,0.563,0.3824,0.4555,0.5011
113,0.6846,0.4278,0.3817,0.4035,0.5077
114,0.4543,0.4351,0.2303,0.3012,0.3622
115,0.5392,0.4337,0.3735,0.4014,0.4602
116,0.589,0.3495,0.2908,0.3175,0.4126
117,0.5631,0.405,0.4062,0.4056,0.4716
118,0.4902,0.4444,0.3382,0.3841,0.4307
119,0.5236,0.4579,0.3737,0.4115,0.4609
120,0.5101,0.392,0.2955,0.337,0.4059
121,0.4964,0.4005,0.3253,0.359,0.4167
122,0.4555,0.2841,0.2188,0.2472,0.3205
123,0.5871,0.5269,0.3606,0.4282,0.4952
124,0.5185,0.4235,0.3153,0.3615,0.426
125,0.5288,0.4108,0.3525,0.3794,0.4418
127,0.4399,0.2559,0.2361,0.2456,0.3152
128,0.5444,0.4141,0.3054,0.3515,0.4272
129,0.6091,0.3415,0.3256,0.3333,0.4309
130,0.5227,0.4119,0.2873,0.3385,0.4109
131,0.4407,0.436,0.2707,0.334,0.38
132,0.6387,0.4144,0.3624,0.3866,0.4817
133,0.3659,0.3042,0.2194,0.2549,0.3005
134,0.5798,0.4408,0.329,0.3768,0.4568
135,0.6085,0.3884,0.3343,0.3593,0.4518
136,0.5628,0.4773,0.3475,0.4022,0.4691
137,0.4333,0.2877,0.2517,0.2685,0.3316
138,0.6688,0.4396,0.3583,0.3948,0.4965
