video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.4114,0.4301,0.3851,0.4064,0.4089
002,0.3993,0.3915,0.3652,0.3779,0.3883
003,0.5128,0.3987,0.29,0.3358,0.4058
004,0.6058,0.4277,0.3943,0.4104,0.4893
005,0.5762,0.5146,0.2889,0.37,0.4507
006,0.5287,0.4756,0.3437,0.3991,0.4548
007,0.496,0.3701,0.3078,0.3361,0.4007
008,0.4769,0.3279,0.2315,0.2714,0.3459
009,0.5966,0.3628,0.2741,0.3122,0.4099
010,0.4904,0.5299,0.42,0.4686,0.4793
011,0.3944,0.4361,0.338,0.3808,0.3875
012,0.5402,0.5089,0.416,0.4578,0.4956
013,0.4828,0.4499,0.342,0.3886,0.4306
014,0.5449,0.4697,0.3633,0.4097,0.4677
015,0.6041,0.425,0.3146,0.3616,0.4524
016,0.5664,0.3885,0.348,0.3671,0.4455
017,0.6733,0.4113,0.347,0.3765,0.4829
018,0.3923,0.4491,0.2911,0.3533,0.3718
019,0.4676,0.5616,0.3829,0.4553,0.4614
020,0.6503,0.6667,0.4546,0.5406,0.5904
021,0.5326,0.3912,0.2762,0.3238,0.4027
022,0.6789,0.4987,0.4537,0.4751,0.559
023,0.7031,0.5346,0.4416,0.4837,0.5731
024,0.4248,0.3793,0.2847,0.3252,0.3684
025,0.4974,0.4433,0.3523,0.3926,0.4388
026,0.5706,0.4223,0.3844,0.4024,0.472
027,0.5757,0.3963,0.372,0.3837,0.4605
028,0.5856,0.4256,0.3767,0.3996,0.4751
029,0.3297,0.4154,0.2925,0.3433,0.3363
030,0.5895,0.4364,0.4017,0.4183,0.4894
031,0.5593,0.4433,0.353,0.3931,0.4617
032,0.5722,0.4933,0.3924,0.4371,0.4956
033,0.4095,0.4241,0.3291,0.3706,0.3891
034,0.584,0.4243,0.4054,0.4146,0.485
035,0.6625,0.5004,0.4378,0.467,0.5479
036,0.4353,0.3704,0.2952,0.3285,0.3744
037,0.7128,0.448,0.4262,0.4369,0.5417
038,0.5222,0.4356,0.4584,0.4467,0.4815
039,0.5482,0.4521,0.4099,0.4299,0.4819
040,0.5347,0.4057,0.3381,0.3688,0.4365
