video_id,coarse_similarity,fine_precision,fine_recall,fine_f1,hm_cf
001,0.5172,0.4864,0.3787,0.4258,0.4671
002,0.5381,0.489,0.3314,0.3951,0.4556
003,0.5876,0.5258,0.3384,0.4118,0.4843
004,0.5453,0.5013,0.3489,0.4114,0.469
005,0.5912,0.5017,0.3189,0.3899,0.4699
006,0.5949,0.593,0.4116,0.486,0.535
007,0.5898,0.4864,0.3737,0.4227,0.4925
008,0.5188,0.484,0.354,0.4089,0.4574
009,0.4225,0.4046,0.3444,0.3721,0.3957
010,0.572,0.5423,0.3999,0.4603,0.5101
011,0.448,0.4106,0.279,0.3323,0.3816
012,0.2955,0.4131,0.2937,0.3433,0.3176
013,0.5849,0.4668,0.3673,0.4111,0.4828
014,0.5243,0.513,0.3472,0.4141,0.4627
015,0.4858,0.5174,0.3882,0.4436,0.4637
016,0.4678,0.4024,0.3058,0.3475,0.3988
017,0.731,0.5293,0.3784,0.4413,0.5503
018,0.5409,0.4104,0.3,0.3466,0.4225
019,0.5746,0.4683,0.3929,0.4273,0.4901
020,0.6305,0.5587,0.4071,0.471,0.5392
021,0.4209,0.4641,0.3577,0.404,0.4123
022,0.5906,0.4643,0.4046,0.4324,0.4992
023,0.6201,0.5185,0.4729,0.4946,0.5503
024,0.5076,0.4216,0.259,0.3209,0.3932
025,0.4639,0.4895,0.3495,0.4078,0.4341
026,0.4955,0.4153,0.3356,0.3712,0.4244
027,0.5862,0.4553,0.3306,0.383,0.4633
028,0.4199,0.323,0.248,0.2806,0.3364
029,0.4749,0.4561,0.335,0.3863,0.426
030,0.6456,0.405,0.3835,0.394,0.4893
031,0.4493,0.4229,0.3226,0.366,0.4034
032,0.5417,0.4776,0.3248,0.3867,0.4512
033,0.5066,0.4775,0.3248,0.3866,0.4385
034,0.6426,0.435,0.3928,0.4128,0.5027
035,0.6679,0.7542,0.4436,0.5586,0.6084
036,0.3722,0.294,0.2186,0.2508,0.2996
037,0.3492,0.4329,0.3446,0.3837,0.3657
038,0.5636,0.4424,0.4209,0.4314,0.4887
039,0.5276,0.5445,0.4154,0.4712,0.4978
040,0.4907,0.4513,0.3436,0.3902,0.4347
041,0.4629,0.3865,0.2746,0.3211,0.3791
042,0.4579,0.4858,0.3783,0.4253,0.441
043,0.4941,0.4413,0.2878,0.3484,0.4087
044,0.5458,0.3999,0.3478,0.372,0.4425
045,0.2852,0.387,0.3297,0.3561,0.3167
046,0.6221,0.5132,0.4123,0.4572,0.5271
047,0.3294,0.4421,0.3545,0.3935,0.3586
048,0.4319,0.3473,0.2881,0.3149,0.3643
049,0.6215,0.4861,0.4265,0.4543,0.5249
050,0.4184,0.4978,0.354,0.4138,0.4161
051,0.3532,0.4288,0.1888,0.2621,0.3009
052,0.4131,0.4686,0.2474,0.3239,0.3631
053,0.3485,0.3598,0.2421,0.2894,0.3162
054,0.4223,0.3226,0.2992,0.3104,0.3578
055,0.4836,0.4624,0.2555,0.3292,0.3917
056,0.4518,0.3545,0.2651,0.3034,0.363
057,0.587,0.4286,0.3413,0.38,0.4613
058,0.5954,0.3734,0.3046,0.3355,0.4292
059,0.521,0.4923,0.383,0.4308,0.4716
060,0.555,0.4634,0.3725,0.413,0.4736
061,0.545,0.4879,0.3469,0.4055,0.465
062,0.4409,0.4118,0.2983,0.346,0.3877
063,0.4601,0.5157,0.3981,0.4493,0.4546
064,0.5885,0.5103,0.3683,0.4278,0.4954
065,0.5613,0.4833,0.3069,0.3754,0.4499
066,0.4895,0.3908,0.2405,0.2978,0.3703
067,0.6239,0.5971,0.3876,0.4701,0.5362
068,0.561,0.3885,0.4204,0.4038,0.4696
069,0.6087,0.545,0.3011,0.3879,0.4739
070,0.6351,0.5308,0.4227,0.4706,0.5406
071,0.6101,0.5617,0.3647,0.4423,0.5128
072,0.5849,0.4487,0.3918,0.4183,0.4878
073,0.6135,0.5971,0.4467,0.511,0.5576
074,0.4874,0.3792,0.2965,0.3328,0.3955
075,0.5806,0.3629,0.3047,0.3313,0.4219
076,0.5645,0.4486,0.2946,0.3556,0.4363
